========================================,,,
Usage Information,,,
For: 955 KIRKWOOD ST,,,
========================================,,,
Meter Reading Information,,,
Type of readings: Electricity,,, ,  
========================================
Detailed Usage,,,
========================================,,,
Start date: 2018-11-11 00:00 for 16 days,,,
========================================
Interval Blockdata for period starting:, 2018-11-11 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWH),,

   -->
   
   2018-11-11 00:00  to 2018-11-11 00:15,0.099,,
2018-11-11 00:15  to 2018-11-11 00:30,0.101,,
2018-11-11 00:30  to 2018-11-11 00:45,0.147,,
2018-11-11 00:45  to 2018-11-11 01:00,0.171,,
2018-11-11 01:00  to 2018-11-11 01:15,0.108,,
2018-11-11 01:15  to 2018-11-11 01:30,0.151,,
2018-11-11 01:30  to 2018-11-11 01:45,0.263,,
2018-11-11 01:45  to 2018-11-11 02:00,0.122,,
2018-11-11 02:00  to 2018-11-11 02:15,0.109,,
2018-11-11 02:15  to 2018-11-11 02:30,0.295,,
2018-11-11 02:30  to 2018-11-11 02:45,0.143,,
2018-11-11 02:45  to 2018-11-11 03:00,0.107,,
2018-11-11 03:00  to 2018-11-11 03:15,0.227,,
2018-11-11 03:15  to 2018-11-11 03:30,0.090,,
2018-11-11 03:30  to 2018-11-11 03:45,0.142,,
2018-11-11 03:45  to 2018-11-11 04:00,0.164,,
2018-11-11 04:00  to 2018-11-11 04:15,0.092,,
2018-11-11 04:15  to 2018-11-11 04:30,0.298,,
2018-11-11 04:30  to 2018-11-11 04:45,0.087,,
2018-11-11 04:45  to 2018-11-11 05:00,0.083,,
2018-11-11 05:00  to 2018-11-11 05:15,0.154,,
2018-11-11 05:15  to 2018-11-11 05:30,0.312,,
2018-11-11 05:30  to 2018-11-11 05:45,0.185,,
2018-11-11 05:45  to 2018-11-11 06:00,0.137,,
2018-11-11 06:00  to 2018-11-11 06:15,0.148,,
2018-11-11 06:15  to 2018-11-11 06:30,0.269,,
2018-11-11 06:30  to 2018-11-11 06:45,0.085,,
2018-11-11 06:45  to 2018-11-11 07:00,0.155,,
2018-11-11 07:00  to 2018-11-11 07:15,0.276,,
2018-11-11 07:15  to 2018-11-11 07:30,0.118,,
2018-11-11 07:30  to 2018-11-11 07:45,0.121,,
2018-11-11 07:45  to 2018-11-11 08:00,0.322,,
2018-11-11 08:00  to 2018-11-11 08:15,0.202,,
2018-11-11 08:15  to 2018-11-11 08:30,0.144,,
2018-11-11 08:30  to 2018-11-11 08:45,0.045,,
2018-11-11 08:45  to 2018-11-11 09:00,0.017,,
2018-11-11 09:00  to 2018-11-11 09:15,0.000,,
2018-11-11 09:15  to 2018-11-11 09:30,0.000,,
2018-11-11 09:30  to 2018-11-11 09:45,0.000,,
2018-11-11 09:45  to 2018-11-11 10:00,0.000,,
2018-11-11 10:00  to 2018-11-11 10:15,0.000,,
2018-11-11 10:15  to 2018-11-11 10:30,0.000,,
2018-11-11 10:30  to 2018-11-11 10:45,0.000,,
2018-11-11 10:45  to 2018-11-11 11:00,0.000,,
2018-11-11 11:00  to 2018-11-11 11:15,0.303,,
2018-11-11 11:15  to 2018-11-11 11:30,0.229,,
2018-11-11 11:30  to 2018-11-11 11:45,0.248,,
2018-11-11 11:45  to 2018-11-11 12:00,0.145,,
2018-11-11 12:00  to 2018-11-11 12:15,0.075,,
2018-11-11 12:15  to 2018-11-11 12:30,0.119,,
2018-11-11 12:30  to 2018-11-11 12:45,0.216,,
2018-11-11 12:45  to 2018-11-11 13:00,0.077,,
2018-11-11 13:00  to 2018-11-11 13:15,0.199,,
2018-11-11 13:15  to 2018-11-11 13:30,0.224,,
2018-11-11 13:30  to 2018-11-11 13:45,0.161,,
2018-11-11 13:45  to 2018-11-11 14:00,0.200,,
2018-11-11 14:00  to 2018-11-11 14:15,0.080,,
2018-11-11 14:15  to 2018-11-11 14:30,0.070,,
2018-11-11 14:30  to 2018-11-11 14:45,0.123,,
2018-11-11 14:45  to 2018-11-11 15:00,0.226,,
2018-11-11 15:00  to 2018-11-11 15:15,0.071,,
2018-11-11 15:15  to 2018-11-11 15:30,0.040,,
2018-11-11 15:30  to 2018-11-11 15:45,0.045,,
2018-11-11 15:45  to 2018-11-11 16:00,0.294,,
2018-11-11 16:00  to 2018-11-11 16:15,0.295,,
2018-11-11 16:15  to 2018-11-11 16:30,0.131,,
2018-11-11 16:30  to 2018-11-11 16:45,0.071,,
2018-11-11 16:45  to 2018-11-11 17:00,0.105,,
2018-11-11 17:00  to 2018-11-11 17:15,0.165,,
2018-11-11 17:15  to 2018-11-11 17:30,0.167,,
2018-11-11 17:30  to 2018-11-11 17:45,0.145,,
2018-11-11 17:45  to 2018-11-11 18:00,0.171,,
2018-11-11 18:00  to 2018-11-11 18:15,0.154,,
2018-11-11 18:15  to 2018-11-11 18:30,0.086,,
2018-11-11 18:30  to 2018-11-11 18:45,0.091,,
2018-11-11 18:45  to 2018-11-11 19:00,0.109,,
2018-11-11 19:00  to 2018-11-11 19:15,0.125,,
2018-11-11 19:15  to 2018-11-11 19:30,0.099,,
2018-11-11 19:30  to 2018-11-11 19:45,0.101,,
2018-11-11 19:45  to 2018-11-11 20:00,0.182,,
2018-11-11 20:00  to 2018-11-11 20:15,0.267,,
2018-11-11 20:15  to 2018-11-11 20:30,0.242,,
2018-11-11 20:30  to 2018-11-11 20:45,0.231,,
2018-11-11 20:45  to 2018-11-11 21:00,0.249,,
2018-11-11 21:00  to 2018-11-11 21:15,0.138,,
2018-11-11 21:15  to 2018-11-11 21:30,0.114,,
2018-11-11 21:30  to 2018-11-11 21:45,0.174,,
2018-11-11 21:45  to 2018-11-11 22:00,0.070,,
2018-11-11 22:00  to 2018-11-11 22:15,0.094,,
2018-11-11 22:15  to 2018-11-11 22:30,0.069,,
2018-11-11 22:30  to 2018-11-11 22:45,0.074,,
2018-11-11 22:45  to 2018-11-11 23:00,0.076,,
2018-11-11 23:00  to 2018-11-11 23:15,0.115,,
2018-11-11 23:15  to 2018-11-11 23:30,0.085,,
2018-11-11 23:30  to 2018-11-11 23:45,0.111,,
2018-11-11 23:45  to 2018-11-12 00:00,0.091,,

========================================
Interval Blockdata for period starting:, 2018-11-12 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWH),,

   -->
   
   2018-11-12 00:00  to 2018-11-12 00:15,0.086,,
2018-11-12 00:15  to 2018-11-12 00:30,0.221,,
2018-11-12 00:30  to 2018-11-12 00:45,0.127,,
2018-11-12 00:45  to 2018-11-12 01:00,0.106,,
2018-11-12 01:00  to 2018-11-12 01:15,0.112,,
2018-11-12 01:15  to 2018-11-12 01:30,0.128,,
2018-11-12 01:30  to 2018-11-12 01:45,0.168,,
2018-11-12 01:45  to 2018-11-12 02:00,0.091,,
2018-11-12 02:00  to 2018-11-12 02:15,0.111,,
2018-11-12 02:15  to 2018-11-12 02:30,0.173,,
2018-11-12 02:30  to 2018-11-12 02:45,0.068,,
2018-11-12 02:45  to 2018-11-12 03:00,0.114,,
2018-11-12 03:00  to 2018-11-12 03:15,0.149,,
2018-11-12 03:15  to 2018-11-12 03:30,0.124,,
2018-11-12 03:30  to 2018-11-12 03:45,0.063,,
2018-11-12 03:45  to 2018-11-12 04:00,0.214,,
2018-11-12 04:00  to 2018-11-12 04:15,0.070,,
2018-11-12 04:15  to 2018-11-12 04:30,0.081,,
2018-11-12 04:30  to 2018-11-12 04:45,0.152,,
2018-11-12 04:45  to 2018-11-12 05:00,0.156,,
2018-11-12 05:00  to 2018-11-12 05:15,0.100,,
2018-11-12 05:15  to 2018-11-12 05:30,0.088,,
2018-11-12 05:30  to 2018-11-12 05:45,0.193,,
2018-11-12 05:45  to 2018-11-12 06:00,0.061,,
2018-11-12 06:00  to 2018-11-12 06:15,0.126,,
2018-11-12 06:15  to 2018-11-12 06:30,0.309,,
2018-11-12 06:30  to 2018-11-12 06:45,0.282,,
2018-11-12 06:45  to 2018-11-12 07:00,0.324,,
2018-11-12 07:00  to 2018-11-12 07:15,0.241,,
2018-11-12 07:15  to 2018-11-12 07:30,0.239,,
2018-11-12 07:30  to 2018-11-12 07:45,0.075,,
2018-11-12 07:45  to 2018-11-12 08:00,0.057,,
2018-11-12 08:00  to 2018-11-12 08:15,0.084,,
2018-11-12 08:15  to 2018-11-12 08:30,0.135,,
2018-11-12 08:30  to 2018-11-12 08:45,0.019,,
2018-11-12 08:45  to 2018-11-12 09:00,0.016,,
2018-11-12 09:00  to 2018-11-12 09:15,0.072,,
2018-11-12 09:15  to 2018-11-12 09:30,0.038,,
2018-11-12 09:30  to 2018-11-12 09:45,0.020,,
2018-11-12 09:45  to 2018-11-12 10:00,0.000,,
2018-11-12 10:00  to 2018-11-12 10:15,0.000,,
2018-11-12 10:15  to 2018-11-12 10:30,0.000,,
2018-11-12 10:30  to 2018-11-12 10:45,0.002,,
2018-11-12 10:45  to 2018-11-12 11:00,0.002,,
2018-11-12 11:00  to 2018-11-12 11:15,0.000,,
2018-11-12 11:15  to 2018-11-12 11:30,0.000,,
2018-11-12 11:30  to 2018-11-12 11:45,0.004,,
2018-11-12 11:45  to 2018-11-12 12:00,0.000,,
2018-11-12 12:00  to 2018-11-12 12:15,0.000,,
2018-11-12 12:15  to 2018-11-12 12:30,0.001,,
2018-11-12 12:30  to 2018-11-12 12:45,0.283,,
2018-11-12 12:45  to 2018-11-12 13:00,0.212,,
2018-11-12 13:00  to 2018-11-12 13:15,0.000,,
2018-11-12 13:15  to 2018-11-12 13:30,0.045,,
2018-11-12 13:30  to 2018-11-12 13:45,0.012,,
2018-11-12 13:45  to 2018-11-12 14:00,0.000,,
2018-11-12 14:00  to 2018-11-12 14:15,0.000,,
2018-11-12 14:15  to 2018-11-12 14:30,0.000,,
2018-11-12 14:30  to 2018-11-12 14:45,0.002,,
2018-11-12 14:45  to 2018-11-12 15:00,0.120,,
2018-11-12 15:00  to 2018-11-12 15:15,0.054,,
2018-11-12 15:15  to 2018-11-12 15:30,0.025,,
2018-11-12 15:30  to 2018-11-12 15:45,0.129,,
2018-11-12 15:45  to 2018-11-12 16:00,0.056,,
2018-11-12 16:00  to 2018-11-12 16:15,0.245,,
2018-11-12 16:15  to 2018-11-12 16:30,0.055,,
2018-11-12 16:30  to 2018-11-12 16:45,0.141,,
2018-11-12 16:45  to 2018-11-12 17:00,0.074,,
2018-11-12 17:00  to 2018-11-12 17:15,0.826,,
2018-11-12 17:15  to 2018-11-12 17:30,0.544,,
2018-11-12 17:30  to 2018-11-12 17:45,0.331,,
2018-11-12 17:45  to 2018-11-12 18:00,0.184,,
2018-11-12 18:00  to 2018-11-12 18:15,0.274,,
2018-11-12 18:15  to 2018-11-12 18:30,0.119,,
2018-11-12 18:30  to 2018-11-12 18:45,0.089,,
2018-11-12 18:45  to 2018-11-12 19:00,0.269,,
2018-11-12 19:00  to 2018-11-12 19:15,0.254,,
2018-11-12 19:15  to 2018-11-12 19:30,0.287,,
2018-11-12 19:30  to 2018-11-12 19:45,0.251,,
2018-11-12 19:45  to 2018-11-12 20:00,0.129,,
2018-11-12 20:00  to 2018-11-12 20:15,0.127,,
2018-11-12 20:15  to 2018-11-12 20:30,0.250,,
2018-11-12 20:30  to 2018-11-12 20:45,0.128,,
2018-11-12 20:45  to 2018-11-12 21:00,0.118,,
2018-11-12 21:00  to 2018-11-12 21:15,0.116,,
2018-11-12 21:15  to 2018-11-12 21:30,0.233,,
2018-11-12 21:30  to 2018-11-12 21:45,0.167,,
2018-11-12 21:45  to 2018-11-12 22:00,0.169,,
2018-11-12 22:00  to 2018-11-12 22:15,0.107,,
2018-11-12 22:15  to 2018-11-12 22:30,0.271,,
2018-11-12 22:30  to 2018-11-12 22:45,0.200,,
2018-11-12 22:45  to 2018-11-12 23:00,0.207,,
2018-11-12 23:00  to 2018-11-12 23:15,0.257,,
2018-11-12 23:15  to 2018-11-12 23:30,0.133,,
2018-11-12 23:30  to 2018-11-12 23:45,0.189,,
2018-11-12 23:45  to 2018-11-13 00:00,0.155,,

========================================
Interval Blockdata for period starting:, 2018-11-13 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWH),,

   -->
   
   2018-11-13 00:00  to 2018-11-13 00:15,0.152,,
2018-11-13 00:15  to 2018-11-13 00:30,0.174,,
2018-11-13 00:30  to 2018-11-13 00:45,0.105,,
2018-11-13 00:45  to 2018-11-13 01:00,0.160,,
2018-11-13 01:00  to 2018-11-13 01:15,0.110,,
2018-11-13 01:15  to 2018-11-13 01:30,0.199,,
2018-11-13 01:30  to 2018-11-13 01:45,0.154,,
2018-11-13 01:45  to 2018-11-13 02:00,0.270,,
2018-11-13 02:00  to 2018-11-13 02:15,0.096,,
2018-11-13 02:15  to 2018-11-13 02:30,0.080,,
2018-11-13 02:30  to 2018-11-13 02:45,0.241,,
2018-11-13 02:45  to 2018-11-13 03:00,0.184,,
2018-11-13 03:00  to 2018-11-13 03:15,0.092,,
2018-11-13 03:15  to 2018-11-13 03:30,0.077,,
2018-11-13 03:30  to 2018-11-13 03:45,0.165,,
2018-11-13 03:45  to 2018-11-13 04:00,0.306,,
2018-11-13 04:00  to 2018-11-13 04:15,0.097,,
2018-11-13 04:15  to 2018-11-13 04:30,0.099,,
2018-11-13 04:30  to 2018-11-13 04:45,0.128,,
2018-11-13 04:45  to 2018-11-13 05:00,0.276,,
2018-11-13 05:00  to 2018-11-13 05:15,0.098,,
2018-11-13 05:15  to 2018-11-13 05:30,0.130,,
2018-11-13 05:30  to 2018-11-13 05:45,0.221,,
2018-11-13 05:45  to 2018-11-13 06:00,0.263,,
2018-11-13 06:00  to 2018-11-13 06:15,0.148,,
2018-11-13 06:15  to 2018-11-13 06:30,0.085,,
2018-11-13 06:30  to 2018-11-13 06:45,0.212,,
2018-11-13 06:45  to 2018-11-13 07:00,0.250,,
2018-11-13 07:00  to 2018-11-13 07:15,0.133,,
2018-11-13 07:15  to 2018-11-13 07:30,0.148,,
2018-11-13 07:30  to 2018-11-13 07:45,0.065,,
2018-11-13 07:45  to 2018-11-13 08:00,0.276,,
2018-11-13 08:00  to 2018-11-13 08:15,0.000,,
2018-11-13 08:15  to 2018-11-13 08:30,0.000,,
2018-11-13 08:30  to 2018-11-13 08:45,0.000,,
2018-11-13 08:45  to 2018-11-13 09:00,0.000,,
2018-11-13 09:00  to 2018-11-13 09:15,0.000,,
2018-11-13 09:15  to 2018-11-13 09:30,0.000,,
2018-11-13 09:30  to 2018-11-13 09:45,0.000,,
2018-11-13 09:45  to 2018-11-13 10:00,0.000,,
2018-11-13 10:00  to 2018-11-13 10:15,0.000,,
2018-11-13 10:15  to 2018-11-13 10:30,0.000,,
2018-11-13 10:30  to 2018-11-13 10:45,0.000,,
2018-11-13 10:45  to 2018-11-13 11:00,0.000,,
2018-11-13 11:00  to 2018-11-13 11:15,0.000,,
2018-11-13 11:15  to 2018-11-13 11:30,0.000,,
2018-11-13 11:30  to 2018-11-13 11:45,0.000,,
2018-11-13 11:45  to 2018-11-13 12:00,0.000,,
2018-11-13 12:00  to 2018-11-13 12:15,0.000,,
2018-11-13 12:15  to 2018-11-13 12:30,0.000,,
2018-11-13 12:30  to 2018-11-13 12:45,0.021,,
2018-11-13 12:45  to 2018-11-13 13:00,0.000,,
2018-11-13 13:00  to 2018-11-13 13:15,0.000,,
2018-11-13 13:15  to 2018-11-13 13:30,0.000,,
2018-11-13 13:30  to 2018-11-13 13:45,0.000,,
2018-11-13 13:45  to 2018-11-13 14:00,0.000,,
2018-11-13 14:00  to 2018-11-13 14:15,0.000,,
2018-11-13 14:15  to 2018-11-13 14:30,0.000,,
2018-11-13 14:30  to 2018-11-13 14:45,0.000,,
2018-11-13 14:45  to 2018-11-13 15:00,0.000,,
2018-11-13 15:00  to 2018-11-13 15:15,0.017,,
2018-11-13 15:15  to 2018-11-13 15:30,0.000,,
2018-11-13 15:30  to 2018-11-13 15:45,0.000,,
2018-11-13 15:45  to 2018-11-13 16:00,0.004,,
2018-11-13 16:00  to 2018-11-13 16:15,0.167,,
2018-11-13 16:15  to 2018-11-13 16:30,0.174,,
2018-11-13 16:30  to 2018-11-13 16:45,0.159,,
2018-11-13 16:45  to 2018-11-13 17:00,0.221,,
2018-11-13 17:00  to 2018-11-13 17:15,0.092,,
2018-11-13 17:15  to 2018-11-13 17:30,0.228,,
2018-11-13 17:30  to 2018-11-13 17:45,0.100,,
2018-11-13 17:45  to 2018-11-13 18:00,0.177,,
2018-11-13 18:00  to 2018-11-13 18:15,0.059,,
2018-11-13 18:15  to 2018-11-13 18:30,0.061,,
2018-11-13 18:30  to 2018-11-13 18:45,0.081,,
2018-11-13 18:45  to 2018-11-13 19:00,0.100,,
2018-11-13 19:00  to 2018-11-13 19:15,0.107,,
2018-11-13 19:15  to 2018-11-13 19:30,0.103,,
2018-11-13 19:30  to 2018-11-13 19:45,0.123,,
2018-11-13 19:45  to 2018-11-13 20:00,0.120,,
2018-11-13 20:00  to 2018-11-13 20:15,0.103,,
2018-11-13 20:15  to 2018-11-13 20:30,0.116,,
2018-11-13 20:30  to 2018-11-13 20:45,0.130,,
2018-11-13 20:45  to 2018-11-13 21:00,0.111,,
2018-11-13 21:00  to 2018-11-13 21:15,0.098,,
2018-11-13 21:15  to 2018-11-13 21:30,0.166,,
2018-11-13 21:30  to 2018-11-13 21:45,0.294,,
