Date/Time,Energy Produced (Wh),Energy Consumed (Wh),Exported to Grid (Wh),Imported from Grid (Wh)
2018-08-01 00:00:00 -0500,0,0,0,0
2018-08-01 00:15:00 -0500,0,0,0,0
2018-08-01 00:30:00 -0500,0,0,0,0
2018-08-01 00:45:00 -0500,0,0,0,0
2018-08-01 01:00:00 -0500,0,0,0,0
2018-08-01 01:15:00 -0500,0,0,0,0
2018-08-01 01:30:00 -0500,0,0,0,0
2018-08-01 01:45:00 -0500,0,0,0,0
2018-08-01 02:00:00 -0500,0,0,0,0
2018-08-01 02:15:00 -0500,0,0,0,0
2018-08-01 02:30:00 -0500,0,0,0,0
2018-08-01 02:45:00 -0500,0,0,0,0
2018-08-01 03:00:00 -0500,0,0,0,0
2018-08-01 03:15:00 -0500,0,0,0,0
2018-08-01 03:30:00 -0500,0,0,0,0
2018-08-01 03:45:00 -0500,0,0,0,0
2018-08-01 04:00:00 -0500,0,0,0,0
2018-08-01 04:15:00 -0500,0,0,0,0
2018-08-01 04:30:00 -0500,0,0,0,0
2018-08-01 04:45:00 -0500,0,0,0,0
2018-08-01 05:00:00 -0500,0,0,0,0
2018-08-01 05:15:00 -0500,0,0,0,0
2018-08-01 05:30:00 -0500,0,0,0,0
2018-08-01 05:45:00 -0500,0,0,0,0
2018-08-01 06:00:00 -0500,3,0,0,0
2018-08-01 06:15:00 -0500,8,0,0,0
2018-08-01 06:30:00 -0500,13,0,0,0
2018-08-01 06:45:00 -0500,25,0,0,0
2018-08-01 07:00:00 -0500,60,0,0,0
2018-08-01 07:15:00 -0500,78,0,0,0
2018-08-01 07:30:00 -0500,114,0,0,0
2018-08-01 07:45:00 -0500,144,0,0,0
2018-08-01 08:00:00 -0500,181,0,0,0
2018-08-01 08:15:00 -0500,234,0,0,0
2018-08-01 08:30:00 -0500,276,0,0,0
2018-08-01 08:45:00 -0500,304,0,0,0
2018-08-01 09:00:00 -0500,327,0,0,0
2018-08-01 09:15:00 -0500,349,0,0,0
2018-08-01 09:30:00 -0500,371,0,0,0
2018-08-01 09:45:00 -0500,389,0,0,0
2018-08-01 10:00:00 -0500,408,0,0,0
2018-08-01 10:15:00 -0500,420,0,0,0
2018-08-01 10:30:00 -0500,403,0,0,0
2018-08-01 10:45:00 -0500,400,0,0,0
2018-08-01 11:00:00 -0500,452,0,0,0
2018-08-01 11:15:00 -0500,458,0,0,0
2018-08-01 11:30:00 -0500,469,0,0,0
2018-08-01 11:45:00 -0500,451,0,0,0
2018-08-01 12:00:00 -0500,311,0,0,0
2018-08-01 12:15:00 -0500,433,0,0,0
2018-08-01 12:30:00 -0500,383,0,0,0
2018-08-01 12:45:00 -0500,353,0,0,0
2018-08-01 13:00:00 -0500,368,0,0,0
2018-08-01 13:15:00 -0500,338,0,0,0
2018-08-01 13:30:00 -0500,331,0,0,0
2018-08-01 13:45:00 -0500,412,0,0,0
2018-08-01 14:00:00 -0500,453,0,0,0
2018-08-01 14:15:00 -0500,413,0,0,0
2018-08-01 14:30:00 -0500,380,0,0,0
2018-08-01 14:45:00 -0500,167,0,0,0
2018-08-01 15:00:00 -0500,396,0,0,0
2018-08-01 15:15:00 -0500,374,0,0,0
2018-08-01 15:30:00 -0500,323,0,0,0
