Date/Time,Energy Produced (Wh),Energy Consumed (Wh),Exported to Grid (Wh),Imported from Grid (Wh)
2018-12-01 00:00:00 -0600,0,235,0,235
2018-12-01 00:15:00 -0600,0,245,0,245
2018-12-01 00:30:00 -0600,0,129,0,129
2018-12-01 00:45:00 -0600,0,135,0,135
2018-12-01 01:00:00 -0600,0,123,0,123
2018-12-01 01:15:00 -0600,0,113,0,113
2018-12-01 01:30:00 -0600,0,112,0,112
2018-12-01 01:45:00 -0600,0,208,0,208
2018-12-01 02:00:00 -0600,0,255,0,255
2018-12-01 02:15:00 -0600,0,134,0,134
2018-12-01 02:30:00 -0600,0,126,0,126
2018-12-01 02:45:00 -0600,0,148,0,148
2018-12-01 03:00:00 -0600,0,128,0,128
2018-12-01 03:15:00 -0600,0,130,0,130
2018-12-01 03:30:00 -0600,0,293,0,293
2018-12-01 03:45:00 -0600,0,212,0,212
2018-12-01 04:00:00 -0600,0,136,0,136
2018-12-01 04:15:00 -0600,0,101,0,101
2018-12-01 04:30:00 -0600,0,115,0,115
2018-12-01 04:45:00 -0600,0,108,0,108
2018-12-01 05:00:00 -0600,0,215,0,215
2018-12-01 05:15:00 -0600,0,99,0,99
2018-12-01 05:30:00 -0600,0,93,0,93
2018-12-01 05:45:00 -0600,0,159,0,159
2018-12-01 06:00:00 -0600,0,195,0,195
2018-12-01 06:15:00 -0600,0,187,0,187
2018-12-01 06:30:00 -0600,0,75,0,75
2018-12-01 06:45:00 -0600,0,96,0,96
2018-12-01 07:00:00 -0600,0,202,0,202
2018-12-01 07:15:00 -0600,0,67,0,67
2018-12-01 07:30:00 -0600,0,65,0,65
2018-12-01 07:45:00 -0600,10,194,0,184
2018-12-01 08:00:00 -0600,28,121,0,93
2018-12-01 08:15:00 -0600,100,120,0,20
2018-12-01 08:30:00 -0600,4,274,0,270
2018-12-01 08:45:00 -0600,9,149,0,140
2018-12-01 09:00:00 -0600,13,109,0,96
2018-12-01 09:15:00 -0600,13,87,0,74
2018-12-01 09:30:00 -0600,15,81,0,66
2018-12-01 09:45:00 -0600,15,137,0,122
2018-12-01 10:00:00 -0600,18,282,0,264
2018-12-01 10:15:00 -0600,19,157,0,138
2018-12-01 10:30:00 -0600,14,168,0,154
2018-12-01 10:45:00 -0600,11,182,0,171
2018-12-01 11:00:00 -0600,14,334,0,320
2018-12-01 11:15:00 -0600,17,256,0,239
2018-12-01 11:30:00 -0600,14,157,0,143
2018-12-01 11:45:00 -0600,15,90,0,75
2018-12-01 12:00:00 -0600,15,101,0,86
2018-12-01 12:15:00 -0600,15,87,0,72
2018-12-01 12:30:00 -0600,14,84,0,70
2018-12-01 12:45:00 -0600,14,138,0,124
2018-12-01 13:00:00 -0600,14,75,0,61
2018-12-01 13:15:00 -0600,14,61,0,47
2018-12-01 13:30:00 -0600,14,63,0,49
2018-12-01 13:45:00 -0600,12,63,0,51
2018-12-01 14:00:00 -0600,11,64,0,53
