Date/Time,Energy Produced (Wh),Energy Consumed (Wh),Exported to Grid (Wh),Imported from Grid (Wh)
2019-02-01 00:00:00 -0600,0,429,0,429
2019-02-01 00:15:00 -0600,0,272,0,272
2019-02-01 00:30:00 -0600,0,253,0,253
2019-02-01 00:45:00 -0600,0,365,0,365
2019-02-01 01:00:00 -0600,0,199,0,199
2019-02-01 01:15:00 -0600,0,439,0,439
2019-02-01 01:30:00 -0600,0,206,0,206
2019-02-01 01:45:00 -0600,0,322,0,322
2019-02-01 02:00:00 -0600,0,261,0,261
2019-02-01 02:15:00 -0600,0,244,0,244
2019-02-01 02:30:00 -0600,0,379,0,379
2019-02-01 02:45:00 -0600,0,162,0,162
2019-02-01 03:00:00 -0600,0,351,0,351
2019-02-01 03:15:00 -0600,0,200,0,200
2019-02-01 03:30:00 -0600,0,279,0,279
2019-02-01 03:45:00 -0600,0,288,0,288
2019-02-01 04:00:00 -0600,0,314,0,314
2019-02-01 04:15:00 -0600,0,416,0,416
2019-02-01 04:30:00 -0600,0,333,0,333
2019-02-01 04:45:00 -0600,0,263,0,263
2019-02-01 05:00:00 -0600,0,212,0,212
2019-02-01 05:15:00 -0600,0,266,0,266
2019-02-01 05:30:00 -0600,0,227,0,227
2019-02-01 05:45:00 -0600,0,236,0,236
2019-02-01 06:00:00 -0600,0,195,0,195
2019-02-01 06:15:00 -0600,0,288,0,288
2019-02-01 06:30:00 -0600,0,156,0,156
2019-02-01 06:45:00 -0600,0,414,0,414
2019-02-01 07:00:00 -0600,0,195,0,195
2019-02-01 07:15:00 -0600,0,222,0,222
2019-02-01 07:30:00 -0600,0,128,0,128
2019-02-01 07:45:00 -0600,0,205,0,205
2019-02-01 08:00:00 -0600,0,77,0,77
2019-02-01 08:15:00 -0600,0,165,0,165
2019-02-01 08:30:00 -0600,0,73,0,73
2019-02-01 08:45:00 -0600,0,179,0,179
2019-02-01 09:00:00 -0600,0,77,0,77
2019-02-01 09:15:00 -0600,0,60,0,60
2019-02-01 09:30:00 -0600,0,61,0,61
2019-02-01 09:45:00 -0600,1,60,0,59
2019-02-01 10:00:00 -0600,2,86,0,84
2019-02-01 10:15:00 -0600,3,87,0,84
2019-02-01 10:30:00 -0600,3,80,0,77
2019-02-01 10:45:00 -0600,3,87,0,84
