Date/Time,Energy Produced (Wh),Energy Consumed (Wh),Exported to Grid (Wh),Imported from Grid (Wh)
2019-05-01 00:00:00 -0500,0,132,0,132
2019-05-01 00:15:00 -0500,0,34,0,34
2019-05-01 00:30:00 -0500,0,37,0,37
2019-05-01 00:45:00 -0500,0,76,0,76
2019-05-01 01:00:00 -0500,0,115,0,115
2019-05-01 01:15:00 -0500,0,45,0,45
2019-05-01 01:30:00 -0500,0,41,0,41
2019-05-01 01:45:00 -0500,0,136,0,136
2019-05-01 02:00:00 -0500,0,50,0,50
2019-05-01 02:15:00 -0500,0,53,0,53
2019-05-01 02:30:00 -0500,0,88,0,88
2019-05-01 02:45:00 -0500,0,135,0,135
2019-05-01 03:00:00 -0500,0,51,0,51
2019-05-01 03:15:00 -0500,0,99,0,99
2019-05-01 03:30:00 -0500,0,232,0,232
2019-05-01 03:45:00 -0500,0,127,0,127
2019-05-01 04:00:00 -0500,0,159,0,159
2019-05-01 04:15:00 -0500,0,112,0,112
2019-05-01 04:30:00 -0500,0,39,0,39
2019-05-01 04:45:00 -0500,0,109,0,109
2019-05-01 05:00:00 -0500,0,30,0,30
2019-05-01 05:15:00 -0500,0,110,0,110
2019-05-01 05:30:00 -0500,0,30,0,30
2019-05-01 05:45:00 -0500,0,139,0,139
2019-05-01 06:00:00 -0500,2,205,0,203
2019-05-01 06:15:00 -0500,16,116,0,100
2019-05-01 06:30:00 -0500,20,29,0,9
2019-05-01 06:45:00 -0500,16,211,0,195
2019-05-01 07:00:00 -0500,15,228,0,213
2019-05-01 07:15:00 -0500,33,46,0,13
2019-05-01 07:30:00 -0500,25,77,0,52
2019-05-01 07:45:00 -0500,39,215,0,176
2019-05-01 08:00:00 -0500,66,92,0,26
2019-05-01 08:15:00 -0500,69,73,0,4
2019-05-01 08:30:00 -0500,77,47,30,0
2019-05-01 08:45:00 -0500,79,159,0,80
2019-05-01 09:00:00 -0500,89,41,48,0
2019-05-01 09:15:00 -0500,96,49,47,0
2019-05-01 09:30:00 -0500,105,5,100,0
2019-05-01 09:45:00 -0500,103,32,71,0
2019-05-01 10:00:00 -0500,113,69,44,0
2019-05-01 10:15:00 -0500,121,0,121,0
2019-05-01 10:30:00 -0500,135,0,135,0
2019-05-01 10:45:00 -0500,168,0,168,0
2019-05-01 11:00:00 -0500,201,0,201,0
2019-05-01 11:15:00 -0500,198,0,198,0
2019-05-01 11:30:00 -0500,191,1,190,0
