Date/Time,Energy Produced (Wh),Energy Consumed (Wh),Exported to Grid (Wh),Imported from Grid (Wh)
2019-10-01 00:00:00 -0500,0,31,0,31
2019-10-01 00:15:00 -0500,0,49,0,49
2019-10-01 00:30:00 -0500,0,22,0,22
2019-10-01 00:45:00 -0500,0,31,0,31
2019-10-01 01:00:00 -0500,0,40,0,40
2019-10-01 01:15:00 -0500,0,22,0,22
2019-10-01 01:30:00 -0500,0,37,0,37
2019-10-01 01:45:00 -0500,0,35,0,35
2019-10-01 02:00:00 -0500,0,21,0,21
2019-10-01 02:15:00 -0500,0,42,0,42
2019-10-01 02:30:00 -0500,0,30,0,30
2019-10-01 02:45:00 -0500,0,22,0,22
2019-10-01 03:00:00 -0500,0,57,0,57
2019-10-01 03:15:00 -0500,0,183,0,183
2019-10-01 03:30:00 -0500,0,126,0,126
2019-10-01 03:45:00 -0500,0,69,0,69
2019-10-01 04:00:00 -0500,0,47,0,47
2019-10-01 04:15:00 -0500,0,44,0,44
2019-10-01 04:30:00 -0500,0,71,0,71
2019-10-01 04:45:00 -0500,0,43,0,43
2019-10-01 05:00:00 -0500,0,45,0,45
2019-10-01 05:15:00 -0500,0,71,0,71
2019-10-01 05:30:00 -0500,0,35,0,35
2019-10-01 05:45:00 -0500,0,23,0,23
2019-10-01 06:00:00 -0500,0,130,0,130
2019-10-01 06:15:00 -0500,0,116,0,116
2019-10-01 06:30:00 -0500,0,173,0,173
2019-10-01 06:45:00 -0500,0,177,0,177
2019-10-01 07:00:00 -0500,1,235,0,234
2019-10-01 07:15:00 -0500,5,265,0,260
2019-10-01 07:30:00 -0500,11,154,0,143
2019-10-01 07:45:00 -0500,13,131,0,118
2019-10-01 08:00:00 -0500,11,193,0,182
2019-10-01 08:15:00 -0500,10,227,0,217
2019-10-01 08:30:00 -0500,4,74,0,70
2019-10-01 08:45:00 -0500,1,52,0,51
2019-10-01 09:00:00 -0500,1,219,0,218
2019-10-01 09:15:00 -0500,6,319,0,313
2019-10-01 09:30:00 -0500,21,45,0,24
2019-10-01 09:45:00 -0500,60,7,53,0
2019-10-01 10:00:00 -0500,53,22,31,0
2019-10-01 10:15:00 -0500,42,21,21,0
2019-10-01 10:30:00 -0500,23,23,0,0
2019-10-01 10:45:00 -0500,16,49,0,33
2019-10-01 11:00:00 -0500,9,82,0,73
2019-10-01 11:15:00 -0500,28,123,0,95
2019-10-01 11:30:00 -0500,39,85,0,46
2019-10-01 11:45:00 -0500,92,2,90,0
2019-10-01 12:00:00 -0500,171,0,171,0
2019-10-01 12:15:00 -0500,201,1,200,0
2019-10-01 12:30:00 -0500,111,0,111,0
2019-10-01 12:45:00 -0500,45,0,45,0
2019-10-01 13:00:00 -0500,54,12,42,0
2019-10-01 13:15:00 -0500,61,1,60,0
2019-10-01 13:30:00 -0500,84,0,84,0
2019-10-01 13:45:00 -0500,124,1,123,0
2019-10-01 14:00:00 -0500,98,0,98,0
2019-10-01 14:15:00 -0500,81,0,81,0
2019-10-01 14:30:00 -0500,44,82,0,38
2019-10-01 14:45:00 -0500,72,123,0,51
2019-10-01 15:00:00 -0500,110,45,65,0
2019-10-01 15:15:00 -0500,92,1,91,0
2019-10-01 15:30:00 -0500,60,98,0,38
2019-10-01 15:45:00 -0500,57,189,0,132
2019-10-01 16:00:00 -0500,52,16,36,0
2019-10-01 16:15:00 -0500,35,25,10,0
2019-10-01 16:30:00 -0500,32,59,0,27
2019-10-01 16:45:00 -0500,34,410,0,376
2019-10-01 17:00:00 -0500,37,264,0,227
2019-10-01 17:15:00 -0500,39,82,0,43
2019-10-01 17:30:00 -0500,29,21,8,0
2019-10-01 17:45:00 -0500,18,23,0,5
2019-10-01 18:00:00 -0500,6,197,0,191
2019-10-01 18:15:00 -0500,1,144,0,143
2019-10-01 18:30:00 -0500,0,37,0,37
2019-10-01 18:45:00 -0500,0,59,0,59
2019-10-01 19:00:00 -0500,0,48,0,48
2019-10-01 19:15:00 -0500,0,52,0,52
2019-10-01 19:30:00 -0500,0,55,0,55
