Date/Time,Energy Produced (Wh),Energy Consumed (Wh),Exported to Grid (Wh),Imported from Grid (Wh)
2018-09-01 00:00:00 -0500,0,76,0,76
2018-09-01 00:15:00 -0500,0,68,0,68
2018-09-01 00:30:00 -0500,0,42,0,42
2018-09-01 00:45:00 -0500,0,40,0,40
2018-09-01 01:00:00 -0500,0,59,0,59
2018-09-01 01:15:00 -0500,0,33,0,33
2018-09-01 01:30:00 -0500,0,34,0,34
2018-09-01 01:45:00 -0500,0,54,0,54
2018-09-01 02:00:00 -0500,0,46,0,46
2018-09-01 02:15:00 -0500,0,153,0,153
2018-09-01 02:30:00 -0500,0,132,0,132
2018-09-01 02:45:00 -0500,0,133,0,133
2018-09-01 03:00:00 -0500,0,34,0,34
2018-09-01 03:15:00 -0500,0,34,0,34
2018-09-01 03:30:00 -0500,0,55,0,55
2018-09-01 03:45:00 -0500,0,69,0,69
2018-09-01 04:00:00 -0500,0,51,0,51
2018-09-01 04:15:00 -0500,0,59,0,59
2018-09-01 04:30:00 -0500,0,85,0,85
2018-09-01 04:45:00 -0500,0,58,0,58
2018-09-01 05:00:00 -0500,0,55,0,55
2018-09-01 05:15:00 -0500,0,212,0,212
2018-09-01 05:30:00 -0500,0,151,0,151
2018-09-01 05:45:00 -0500,0,55,0,55
2018-09-01 06:00:00 -0500,0,40,0,40
2018-09-01 06:15:00 -0500,0,64,0,64
2018-09-01 06:30:00 -0500,0,42,0,42
2018-09-01 06:45:00 -0500,0,32,0,32
2018-09-01 07:00:00 -0500,0,127,0,127
2018-09-01 07:15:00 -0500,0,251,0,251
2018-09-01 07:30:00 -0500,0,175,0,175
2018-09-01 07:45:00 -0500,2,286,0,284
2018-09-01 08:00:00 -0500,5,316,0,311
2018-09-01 08:15:00 -0500,7,194,0,187
2018-09-01 08:30:00 -0500,13,289,0,276
2018-09-01 08:45:00 -0500,20,328,0,308
2018-09-01 09:00:00 -0500,23,563,0,540
2018-09-01 09:15:00 -0500,18,447,0,429
2018-09-01 09:30:00 -0500,30,554,0,524
2018-09-01 09:45:00 -0500,56,331,0,275
2018-09-01 10:00:00 -0500,54,114,0,60
2018-09-01 10:15:00 -0500,42,130,0,88
2018-09-01 10:30:00 -0500,41,132,0,91
2018-09-01 10:45:00 -0500,51,107,0,56
2018-09-01 11:00:00 -0500,38,142,0,104
2018-09-01 11:15:00 -0500,20,124,0,104
2018-09-01 11:30:00 -0500,33,113,0,80
2018-09-01 11:45:00 -0500,85,87,0,2
2018-09-01 12:00:00 -0500,115,49,66,0
2018-09-01 12:15:00 -0500,160,69,91,0
2018-09-01 12:30:00 -0500,165,54,111,0
2018-09-01 12:45:00 -0500,139,50,89,0
2018-09-01 13:00:00 -0500,147,68,79,0
2018-09-01 13:15:00 -0500,247,23,224,0
2018-09-01 13:30:00 -0500,422,0,422,0
2018-09-01 13:45:00 -0500,328,5,323,0
2018-09-01 14:00:00 -0500,263,28,235,0
2018-09-01 14:15:00 -0500,328,5,323,0
2018-09-01 14:30:00 -0500,316,9,307,0
2018-09-01 14:45:00 -0500,215,55,160,0
2018-09-01 15:00:00 -0500,293,24,269,0
2018-09-01 15:15:00 -0500,322,32,290,0
2018-09-01 15:30:00 -0500,117,29,88,0
2018-09-01 15:45:00 -0500,147,0,147,0
2018-09-01 16:00:00 -0500,193,0,193,0
2018-09-01 16:15:00 -0500,143,0,143,0
2018-09-01 16:30:00 -0500,153,0,153,0
2018-09-01 16:45:00 -0500,114,1,113,0
2018-09-01 17:00:00 -0500,55,11,44,0
2018-09-01 17:15:00 -0500,23,17,6,0
2018-09-01 17:30:00 -0500,20,82,0,62
2018-09-01 17:45:00 -0500,26,128,0,102
2018-09-01 18:00:00 -0500,19,120,0,101
2018-09-01 18:15:00 -0500,14,125,0,111
2018-09-01 18:30:00 -0500,23,91,0,68
2018-09-01 18:45:00 -0500,18,120,0,102
