========================================,,,
Usage Information,,,
For: 955 KIRKWOOD ST,,,
========================================,,,
Meter Reading Information,,,
Type of readings: Electricity,,, ,  
========================================
Detailed Usage,,,
========================================,,,
Start date: 2018-05-15 00:00 for 16 days,,,
========================================
Interval Blockdata for period starting:, 2018-05-15 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWH),,

   -->
   
   2018-05-15 00:00  to 2018-05-15 00:15,0.050,,
2018-05-15 00:15  to 2018-05-15 00:30,0.031,,
2018-05-15 00:30  to 2018-05-15 00:45,0.031,,
2018-05-15 00:45  to 2018-05-15 01:00,0.037,,
2018-05-15 01:00  to 2018-05-15 01:15,0.058,,
2018-05-15 01:15  to 2018-05-15 01:30,0.039,,
2018-05-15 01:30  to 2018-05-15 01:45,0.050,,
2018-05-15 01:45  to 2018-05-15 02:00,0.034,,
2018-05-15 02:00  to 2018-05-15 02:15,0.034,,
2018-05-15 02:15  to 2018-05-15 02:30,0.067,,
2018-05-15 02:30  to 2018-05-15 02:45,0.073,,
2018-05-15 02:45  to 2018-05-15 03:00,0.055,,
2018-05-15 03:00  to 2018-05-15 03:15,0.055,,
2018-05-15 03:15  to 2018-05-15 03:30,0.053,,
2018-05-15 03:30  to 2018-05-15 03:45,0.075,,
2018-05-15 03:45  to 2018-05-15 04:00,0.032,,
2018-05-15 04:00  to 2018-05-15 04:15,0.034,,
2018-05-15 04:15  to 2018-05-15 04:30,0.032,,
2018-05-15 04:30  to 2018-05-15 04:45,0.049,,
2018-05-15 04:45  to 2018-05-15 05:00,0.040,,
2018-05-15 05:00  to 2018-05-15 05:15,0.053,,
2018-05-15 05:15  to 2018-05-15 05:30,0.027,,
2018-05-15 05:30  to 2018-05-15 05:45,0.016,,
2018-05-15 05:45  to 2018-05-15 06:00,0.007,,
2018-05-15 06:00  to 2018-05-15 06:15,0.019,,
2018-05-15 06:15  to 2018-05-15 06:30,0.007,,
2018-05-15 06:30  to 2018-05-15 06:45,0.034,,
2018-05-15 06:45  to 2018-05-15 07:00,0.072,,
2018-05-15 07:00  to 2018-05-15 07:15,0.161,,
2018-05-15 07:15  to 2018-05-15 07:30,0.287,,
2018-05-15 07:30  to 2018-05-15 07:45,0.206,,
2018-05-15 07:45  to 2018-05-15 08:00,0.076,,
2018-05-15 08:00  to 2018-05-15 08:15,0.246,,
2018-05-15 08:15  to 2018-05-15 08:30,0.086,,
2018-05-15 08:30  to 2018-05-15 08:45,0.001,,
2018-05-15 08:45  to 2018-05-15 09:00,0.000,,
2018-05-15 09:00  to 2018-05-15 09:15,0.000,,
2018-05-15 09:15  to 2018-05-15 09:30,0.000,,
2018-05-15 09:30  to 2018-05-15 09:45,0.000,,
2018-05-15 09:45  to 2018-05-15 10:00,0.000,,
2018-05-15 10:00  to 2018-05-15 10:15,0.000,,
2018-05-15 10:15  to 2018-05-15 10:30,0.000,,
2018-05-15 10:30  to 2018-05-15 10:45,0.000,,
2018-05-15 10:45  to 2018-05-15 11:00,0.000,,
2018-05-15 11:00  to 2018-05-15 11:15,0.000,,
2018-05-15 11:15  to 2018-05-15 11:30,0.000,,
2018-05-15 11:30  to 2018-05-15 11:45,0.000,,
2018-05-15 11:45  to 2018-05-15 12:00,0.000,,
2018-05-15 12:00  to 2018-05-15 12:15,0.000,,
2018-05-15 12:15  to 2018-05-15 12:30,0.000,,
2018-05-15 12:30  to 2018-05-15 12:45,0.000,,
2018-05-15 12:45  to 2018-05-15 13:00,0.000,,
2018-05-15 13:00  to 2018-05-15 13:15,0.000,,
2018-05-15 13:15  to 2018-05-15 13:30,0.004,,
2018-05-15 13:30  to 2018-05-15 13:45,0.024,,
2018-05-15 13:45  to 2018-05-15 14:00,0.000,,
2018-05-15 14:00  to 2018-05-15 14:15,0.000,,
