========================================,,,
Usage Information,,,
For: 955 KIRKWOOD ST,,,
========================================,,,
Meter Reading Information,,,
Type of readings: Electricity,,, ,  
========================================
Detailed Usage,,,
========================================,,,
Start date: 2019-02-16 00:00 for 16 days,,,
========================================
Interval Blockdata for period starting:, 2019-02-16 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWHR),,

   -->
   
   2019-02-16 00:00  to 2019-02-16 00:15,0.000,,
2019-02-16 00:15  to 2019-02-16 00:30,0.000,,
2019-02-16 00:30  to 2019-02-16 00:45,0.000,,
2019-02-16 00:45  to 2019-02-16 01:00,0.000,,
2019-02-16 01:00  to 2019-02-16 01:15,0.000,,
2019-02-16 01:15  to 2019-02-16 01:30,0.000,,
2019-02-16 01:30  to 2019-02-16 01:45,0.000,,
2019-02-16 01:45  to 2019-02-16 02:00,0.000,,
2019-02-16 02:00  to 2019-02-16 02:15,0.000,,
2019-02-16 02:15  to 2019-02-16 02:30,0.000,,
2019-02-16 02:30  to 2019-02-16 02:45,0.000,,
2019-02-16 02:45  to 2019-02-16 03:00,0.000,,
2019-02-16 03:00  to 2019-02-16 03:15,0.000,,
2019-02-16 03:15  to 2019-02-16 03:30,0.000,,
2019-02-16 03:30  to 2019-02-16 03:45,0.000,,
2019-02-16 03:45  to 2019-02-16 04:00,0.000,,
2019-02-16 04:00  to 2019-02-16 04:15,0.000,,
2019-02-16 04:15  to 2019-02-16 04:30,0.000,,
2019-02-16 04:30  to 2019-02-16 04:45,0.000,,
2019-02-16 04:45  to 2019-02-16 05:00,0.000,,
2019-02-16 05:00  to 2019-02-16 05:15,0.000,,
2019-02-16 05:15  to 2019-02-16 05:30,0.000,,
2019-02-16 05:30  to 2019-02-16 05:45,0.000,,
2019-02-16 05:45  to 2019-02-16 06:00,0.000,,
2019-02-16 06:00  to 2019-02-16 06:15,0.000,,
2019-02-16 06:15  to 2019-02-16 06:30,0.000,,
2019-02-16 06:30  to 2019-02-16 06:45,0.000,,
2019-02-16 06:45  to 2019-02-16 07:00,0.000,,
2019-02-16 07:00  to 2019-02-16 07:15,0.000,,
2019-02-16 07:15  to 2019-02-16 07:30,0.000,,
2019-02-16 07:30  to 2019-02-16 07:45,0.000,,
2019-02-16 07:45  to 2019-02-16 08:00,0.001,,
2019-02-16 08:00  to 2019-02-16 08:15,0.023,,
2019-02-16 08:15  to 2019-02-16 08:30,0.018,,
2019-02-16 08:30  to 2019-02-16 08:45,0.043,,
2019-02-16 08:45  to 2019-02-16 09:00,0.081,,
2019-02-16 09:00  to 2019-02-16 09:15,0.160,,
2019-02-16 09:15  to 2019-02-16 09:30,0.128,,
2019-02-16 09:30  to 2019-02-16 09:45,0.222,,
2019-02-16 09:45  to 2019-02-16 10:00,0.205,,
2019-02-16 10:00  to 2019-02-16 10:15,0.044,,
2019-02-16 10:15  to 2019-02-16 10:30,0.104,,
2019-02-16 10:30  to 2019-02-16 10:45,0.145,,
2019-02-16 10:45  to 2019-02-16 11:00,0.185,,
2019-02-16 11:00  to 2019-02-16 11:15,0.068,,
2019-02-16 11:15  to 2019-02-16 11:30,0.170,,
2019-02-16 11:30  to 2019-02-16 11:45,0.206,,
2019-02-16 11:45  to 2019-02-16 12:00,0.283,,
2019-02-16 12:00  to 2019-02-16 12:15,0.125,,
2019-02-16 12:15  to 2019-02-16 12:30,0.214,,
2019-02-16 12:30  to 2019-02-16 12:45,0.242,,
2019-02-16 12:45  to 2019-02-16 13:00,0.313,,
2019-02-16 13:00  to 2019-02-16 13:15,0.226,,
2019-02-16 13:15  to 2019-02-16 13:30,0.239,,
2019-02-16 13:30  to 2019-02-16 13:45,0.301,,
2019-02-16 13:45  to 2019-02-16 14:00,0.294,,
2019-02-16 14:00  to 2019-02-16 14:15,0.195,,
2019-02-16 14:15  to 2019-02-16 14:30,0.154,,
2019-02-16 14:30  to 2019-02-16 14:45,0.210,,
2019-02-16 14:45  to 2019-02-16 15:00,0.222,,
2019-02-16 15:00  to 2019-02-16 15:15,0.082,,
2019-02-16 15:15  to 2019-02-16 15:30,0.171,,
2019-02-16 15:30  to 2019-02-16 15:45,0.137,,
2019-02-16 15:45  to 2019-02-16 16:00,0.034,,
2019-02-16 16:00  to 2019-02-16 16:15,0.012,,
2019-02-16 16:15  to 2019-02-16 16:30,0.024,,
2019-02-16 16:30  to 2019-02-16 16:45,0.005,,
2019-02-16 16:45  to 2019-02-16 17:00,0.000,,
2019-02-16 17:00  to 2019-02-16 17:15,0.000,,
2019-02-16 17:15  to 2019-02-16 17:30,0.000,,
2019-02-16 17:30  to 2019-02-16 17:45,0.000,,
2019-02-16 17:45  to 2019-02-16 18:00,0.000,,
2019-02-16 18:00  to 2019-02-16 18:15,0.000,,
2019-02-16 18:15  to 2019-02-16 18:30,0.000,,
2019-02-16 18:30  to 2019-02-16 18:45,0.000,,
2019-02-16 18:45  to 2019-02-16 19:00,0.000,,
2019-02-16 19:00  to 2019-02-16 19:15,0.000,,
2019-02-16 19:15  to 2019-02-16 19:30,0.000,,
2019-02-16 19:30  to 2019-02-16 19:45,0.000,,
2019-02-16 19:45  to 2019-02-16 20:00,0.000,,
2019-02-16 20:00  to 2019-02-16 20:15,0.000,,
2019-02-16 20:15  to 2019-02-16 20:30,0.000,,
2019-02-16 20:30  to 2019-02-16 20:45,0.000,,
2019-02-16 20:45  to 2019-02-16 21:00,0.000,,
2019-02-16 21:00  to 2019-02-16 21:15,0.000,,
2019-02-16 21:15  to 2019-02-16 21:30,0.000,,
2019-02-16 21:30  to 2019-02-16 21:45,0.000,,
2019-02-16 21:45  to 2019-02-16 22:00,0.000,,
2019-02-16 22:00  to 2019-02-16 22:15,0.000,,
2019-02-16 22:15  to 2019-02-16 22:30,0.000,,
2019-02-16 22:30  to 2019-02-16 22:45,0.000,,
2019-02-16 22:45  to 2019-02-16 23:00,0.000,,
2019-02-16 23:00  to 2019-02-16 23:15,0.000,,
2019-02-16 23:15  to 2019-02-16 23:30,0.000,,
2019-02-16 23:30  to 2019-02-16 23:45,0.000,,
2019-02-16 23:45  to 2019-02-17 00:00,0.000,,

========================================
Interval Blockdata for period starting:, 2019-02-17 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWHR),,

   -->
   
   2019-02-17 00:00  to 2019-02-17 00:15,0.000,,
2019-02-17 00:15  to 2019-02-17 00:30,0.000,,
2019-02-17 00:30  to 2019-02-17 00:45,0.000,,
2019-02-17 00:45  to 2019-02-17 01:00,0.000,,
2019-02-17 01:00  to 2019-02-17 01:15,0.000,,
2019-02-17 01:15  to 2019-02-17 01:30,0.000,,
2019-02-17 01:30  to 2019-02-17 01:45,0.000,,
2019-02-17 01:45  to 2019-02-17 02:00,0.000,,
2019-02-17 02:00  to 2019-02-17 02:15,0.000,,
2019-02-17 02:15  to 2019-02-17 02:30,0.000,,
2019-02-17 02:30  to 2019-02-17 02:45,0.000,,
2019-02-17 02:45  to 2019-02-17 03:00,0.000,,
2019-02-17 03:00  to 2019-02-17 03:15,0.000,,
2019-02-17 03:15  to 2019-02-17 03:30,0.000,,
2019-02-17 03:30  to 2019-02-17 03:45,0.000,,
2019-02-17 03:45  to 2019-02-17 04:00,0.000,,
2019-02-17 04:00  to 2019-02-17 04:15,0.000,,
2019-02-17 04:15  to 2019-02-17 04:30,0.000,,
2019-02-17 04:30  to 2019-02-17 04:45,0.000,,
2019-02-17 04:45  to 2019-02-17 05:00,0.000,,
2019-02-17 05:00  to 2019-02-17 05:15,0.000,,
2019-02-17 05:15  to 2019-02-17 05:30,0.000,,
2019-02-17 05:30  to 2019-02-17 05:45,0.000,,
2019-02-17 05:45  to 2019-02-17 06:00,0.000,,
2019-02-17 06:00  to 2019-02-17 06:15,0.000,,
2019-02-17 06:15  to 2019-02-17 06:30,0.000,,
2019-02-17 06:30  to 2019-02-17 06:45,0.000,,
2019-02-17 06:45  to 2019-02-17 07:00,0.000,,
2019-02-17 07:00  to 2019-02-17 07:15,0.000,,
2019-02-17 07:15  to 2019-02-17 07:30,0.000,,
2019-02-17 07:30  to 2019-02-17 07:45,0.000,,
2019-02-17 07:45  to 2019-02-17 08:00,0.000,,
2019-02-17 08:00  to 2019-02-17 08:15,0.000,,
2019-02-17 08:15  to 2019-02-17 08:30,0.000,,
2019-02-17 08:30  to 2019-02-17 08:45,0.000,,
2019-02-17 08:45  to 2019-02-17 09:00,0.000,,
2019-02-17 09:00  to 2019-02-17 09:15,0.000,,
2019-02-17 09:15  to 2019-02-17 09:30,0.000,,
2019-02-17 09:30  to 2019-02-17 09:45,0.000,,
2019-02-17 09:45  to 2019-02-17 10:00,0.000,,
2019-02-17 10:00  to 2019-02-17 10:15,0.000,,
2019-02-17 10:15  to 2019-02-17 10:30,0.000,,
2019-02-17 10:30  to 2019-02-17 10:45,0.000,,
2019-02-17 10:45  to 2019-02-17 11:00,0.000,,
2019-02-17 11:00  to 2019-02-17 11:15,0.000,,
2019-02-17 11:15  to 2019-02-17 11:30,0.000,,
2019-02-17 11:30  to 2019-02-17 11:45,0.000,,
2019-02-17 11:45  to 2019-02-17 12:00,0.000,,
2019-02-17 12:00  to 2019-02-17 12:15,0.000,,
2019-02-17 12:15  to 2019-02-17 12:30,0.000,,
2019-02-17 12:30  to 2019-02-17 12:45,0.000,,
2019-02-17 12:45  to 2019-02-17 13:00,0.000,,
2019-02-17 13:00  to 2019-02-17 13:15,0.000,,
2019-02-17 13:15  to 2019-02-17 13:30,0.000,,
2019-02-17 13:30  to 2019-02-17 13:45,0.000,,
2019-02-17 13:45  to 2019-02-17 14:00,0.000,,
2019-02-17 14:00  to 2019-02-17 14:15,0.000,,
2019-02-17 14:15  to 2019-02-17 14:30,0.000,,
2019-02-17 14:30  to 2019-02-17 14:45,0.000,,
2019-02-17 14:45  to 2019-02-17 15:00,0.000,,
2019-02-17 15:00  to 2019-02-17 15:15,0.000,,
2019-02-17 15:15  to 2019-02-17 15:30,0.000,,
2019-02-17 15:30  to 2019-02-17 15:45,0.000,,
2019-02-17 15:45  to 2019-02-17 16:00,0.000,,
2019-02-17 16:00  to 2019-02-17 16:15,0.000,,
2019-02-17 16:15  to 2019-02-17 16:30,0.000,,
2019-02-17 16:30  to 2019-02-17 16:45,0.000,,
2019-02-17 16:45  to 2019-02-17 17:00,0.000,,
2019-02-17 17:00  to 2019-02-17 17:15,0.000,,
2019-02-17 17:15  to 2019-02-17 17:30,0.000,,
2019-02-17 17:30  to 2019-02-17 17:45,0.000,,
2019-02-17 17:45  to 2019-02-17 18:00,0.000,,
2019-02-17 18:00  to 2019-02-17 18:15,0.000,,
2019-02-17 18:15  to 2019-02-17 18:30,0.000,,
2019-02-17 18:30  to 2019-02-17 18:45,0.000,,
2019-02-17 18:45  to 2019-02-17 19:00,0.000,,
2019-02-17 19:00  to 2019-02-17 19:15,0.000,,
2019-02-17 19:15  to 2019-02-17 19:30,0.000,,
2019-02-17 19:30  to 2019-02-17 19:45,0.000,,
2019-02-17 19:45  to 2019-02-17 20:00,0.000,,
2019-02-17 20:00  to 2019-02-17 20:15,0.000,,
2019-02-17 20:15  to 2019-02-17 20:30,0.000,,
2019-02-17 20:30  to 2019-02-17 20:45,0.000,,
2019-02-17 20:45  to 2019-02-17 21:00,0.000,,
2019-02-17 21:00  to 2019-02-17 21:15,0.000,,
2019-02-17 21:15  to 2019-02-17 21:30,0.000,,
2019-02-17 21:30  to 2019-02-17 21:45,0.000,,
2019-02-17 21:45  to 2019-02-17 22:00,0.000,,
2019-02-17 22:00  to 2019-02-17 22:15,0.000,,
2019-02-17 22:15  to 2019-02-17 22:30,0.000,,
2019-02-17 22:30  to 2019-02-17 22:45,0.000,,
2019-02-17 22:45  to 2019-02-17 23:00,0.000,,
2019-02-17 23:00  to 2019-02-17 23:15,0.000,,
2019-02-17 23:15  to 2019-02-17 23:30,0.000,,
2019-02-17 23:30  to 2019-02-17 23:45,0.000,,
