Date/Time,Energy Produced (Wh),Energy Consumed (Wh),Exported to Grid (Wh),Imported from Grid (Wh)
2019-04-01 00:00:00 -0500,0,34,0,34
2019-04-01 00:15:00 -0500,0,34,0,34
2019-04-01 00:30:00 -0500,0,34,0,34
2019-04-01 00:45:00 -0500,0,38,0,38
2019-04-01 01:00:00 -0500,0,59,0,59
2019-04-01 01:15:00 -0500,0,57,0,57
2019-04-01 01:30:00 -0500,0,57,0,57
2019-04-01 01:45:00 -0500,0,77,0,77
2019-04-01 02:00:00 -0500,0,85,0,85
2019-04-01 02:15:00 -0500,0,39,0,39
2019-04-01 02:30:00 -0500,0,94,0,94
2019-04-01 02:45:00 -0500,0,35,0,35
2019-04-01 03:00:00 -0500,0,113,0,113
2019-04-01 03:15:00 -0500,0,34,0,34
2019-04-01 03:30:00 -0500,0,200,0,200
2019-04-01 03:45:00 -0500,0,35,0,35
2019-04-01 04:00:00 -0500,0,91,0,91
2019-04-01 04:15:00 -0500,0,92,0,92
2019-04-01 04:30:00 -0500,0,70,0,70
2019-04-01 04:45:00 -0500,0,122,0,122
2019-04-01 05:00:00 -0500,0,34,0,34
2019-04-01 05:15:00 -0500,0,169,0,169
2019-04-01 05:30:00 -0500,0,173,0,173
2019-04-01 05:45:00 -0500,0,118,0,118
2019-04-01 06:00:00 -0500,0,357,0,357
2019-04-01 06:15:00 -0500,0,224,0,224
2019-04-01 06:30:00 -0500,2,221,0,219
2019-04-01 06:45:00 -0500,7,353,0,346
2019-04-01 07:00:00 -0500,10,138,0,128
2019-04-01 07:15:00 -0500,10,87,0,77
2019-04-01 07:30:00 -0500,16,187,0,171
2019-04-01 07:45:00 -0500,24,38,0,14
2019-04-01 08:00:00 -0500,37,17,20,0
2019-04-01 08:15:00 -0500,48,106,0,58
2019-04-01 08:30:00 -0500,63,0,63,0
2019-04-01 08:45:00 -0500,86,2,84,0
2019-04-01 09:00:00 -0500,113,112,1,0
2019-04-01 09:15:00 -0500,147,322,0,175
2019-04-01 09:30:00 -0500,184,247,0,63
2019-04-01 09:45:00 -0500,227,127,100,0
2019-04-01 10:00:00 -0500,286,387,0,101
2019-04-01 10:15:00 -0500,347,70,277,0
2019-04-01 10:30:00 -0500,464,0,464,0
2019-04-01 10:45:00 -0500,528,0,528,0
2019-04-01 11:00:00 -0500,528,0,528,0
2019-04-01 11:15:00 -0500,534,0,534,0
2019-04-01 11:30:00 -0500,543,0,543,0
2019-04-01 11:45:00 -0500,546,0,546,0
2019-04-01 12:00:00 -0500,543,0,543,0
2019-04-01 12:15:00 -0500,539,0,539,0
2019-04-01 12:30:00 -0500,478,0,478,0
2019-04-01 12:45:00 -0500,457,0,457,0
2019-04-01 13:00:00 -0500,473,0,473,0
2019-04-01 13:15:00 -0500,396,0,396,0
2019-04-01 13:30:00 -0500,345,0,345,0
2019-04-01 13:45:00 -0500,415,0,415,0
2019-04-01 14:00:00 -0500,441,0,441,0
2019-04-01 14:15:00 -0500,372,0,372,0
2019-04-01 14:30:00 -0500,317,0,317,0
2019-04-01 14:45:00 -0500,333,22,311,0
2019-04-01 15:00:00 -0500,320,0,320,0
2019-04-01 15:15:00 -0500,273,0,273,0
2019-04-01 15:30:00 -0500,257,0,257,0
2019-04-01 15:45:00 -0500,240,0,240,0
2019-04-01 16:00:00 -0500,202,0,202,0
2019-04-01 16:15:00 -0500,184,174,10,0
2019-04-01 16:30:00 -0500,167,34,133,0
2019-04-01 16:45:00 -0500,132,3,129,0
2019-04-01 17:00:00 -0500,103,11,92,0
2019-04-01 17:15:00 -0500,78,223,0,145
2019-04-01 17:30:00 -0500,66,144,0,78
2019-04-01 17:45:00 -0500,56,91,0,35
2019-04-01 18:00:00 -0500,46,83,0,37
2019-04-01 18:15:00 -0500,36,26,10,0
2019-04-01 18:30:00 -0500,22,83,0,61
2019-04-01 18:45:00 -0500,32,48,0,16
2019-04-01 19:00:00 -0500,22,53,0,31
2019-04-01 19:15:00 -0500,0,56,0,56
2019-04-01 19:30:00 -0500,0,71,0,71
2019-04-01 19:45:00 -0500,0,83,0,83
2019-04-01 20:00:00 -0500,0,51,0,51
2019-04-01 20:15:00 -0500,0,69,0,69
2019-04-01 20:30:00 -0500,0,51,0,51
2019-04-01 20:45:00 -0500,0,49,0,49
2019-04-01 21:00:00 -0500,0,54,0,54
2019-04-01 21:15:00 -0500,0,63,0,63
2019-04-01 21:30:00 -0500,0,63,0,63
2019-04-01 21:45:00 -0500,0,40,0,40
2019-04-01 22:00:00 -0500,0,36,0,36
2019-04-01 22:15:00 -0500,0,36,0,36
2019-04-01 22:30:00 -0500,0,44,0,44
2019-04-01 22:45:00 -0500,0,46,0,46
2019-04-01 23:00:00 -0500,0,35,0,35
2019-04-01 23:15:00 -0500,0,61,0,61
2019-04-01 23:30:00 -0500,0,77,0,77
2019-04-01 23:45:00 -0500,0,54,0,54
2019-04-02 00:00:00 -0500,0,132,0,132
2019-04-02 00:15:00 -0500,0,90,0,90
2019-04-02 00:30:00 -0500,0,42,0,42
2019-04-02 00:45:00 -0500,0,47,0,47
2019-04-02 01:00:00 -0500,0,33,0,33
2019-04-02 01:15:00 -0500,0,34,0,34
2019-04-02 01:30:00 -0500,0,169,0,169
2019-04-02 01:45:00 -0500,0,51,0,51
2019-04-02 02:00:00 -0500,0,47,0,47
2019-04-02 02:15:00 -0500,0,34,0,34
2019-04-02 02:30:00 -0500,0,33,0,33
2019-04-02 02:45:00 -0500,0,110,0,110
2019-04-02 03:00:00 -0500,0,263,0,263
2019-04-02 03:15:00 -0500,0,134,0,134
2019-04-02 03:30:00 -0500,0,100,0,100
2019-04-02 03:45:00 -0500,0,106,0,106
2019-04-02 04:00:00 -0500,0,127,0,127
2019-04-02 04:15:00 -0500,0,69,0,69
