Date/Time,Energy Produced (Wh),Energy Consumed (Wh),Exported to Grid (Wh),Imported from Grid (Wh)
2019-08-01 00:00:00 -0500,0,42,0,42
2019-08-01 00:15:00 -0500,0,32,0,32
2019-08-01 00:30:00 -0500,0,57,0,57
2019-08-01 00:45:00 -0500,0,37,0,37
2019-08-01 01:00:00 -0500,0,49,0,49
2019-08-01 01:15:00 -0500,0,179,0,179
2019-08-01 01:30:00 -0500,0,123,0,123
2019-08-01 01:45:00 -0500,0,53,0,53
2019-08-01 02:00:00 -0500,0,78,0,78
2019-08-01 02:15:00 -0500,0,57,0,57
2019-08-01 02:30:00 -0500,0,51,0,51
2019-08-01 02:45:00 -0500,0,75,0,75
2019-08-01 03:00:00 -0500,0,44,0,44
2019-08-01 03:15:00 -0500,0,30,0,30
2019-08-01 03:30:00 -0500,0,50,0,50
2019-08-01 03:45:00 -0500,0,40,0,40
2019-08-01 04:00:00 -0500,0,30,0,30
2019-08-01 04:15:00 -0500,0,44,0,44
2019-08-01 04:30:00 -0500,0,48,0,48
2019-08-01 04:45:00 -0500,0,30,0,30
2019-08-01 05:00:00 -0500,0,35,0,35
2019-08-01 05:15:00 -0500,0,177,0,177
2019-08-01 05:30:00 -0500,0,139,0,139
2019-08-01 05:45:00 -0500,2,84,0,82
2019-08-01 06:00:00 -0500,7,75,0,68
2019-08-01 06:15:00 -0500,7,55,0,48
2019-08-01 06:30:00 -0500,15,40,0,25
2019-08-01 06:45:00 -0500,24,43,0,19
2019-08-01 07:00:00 -0500,66,25,41,0
2019-08-01 07:15:00 -0500,83,1,82,0
2019-08-01 07:30:00 -0500,114,0,114,0
2019-08-01 07:45:00 -0500,149,0,149,0
2019-08-01 08:00:00 -0500,186,67,119,0
2019-08-01 08:15:00 -0500,240,50,190,0
2019-08-01 08:30:00 -0500,283,0,283,0
2019-08-01 08:45:00 -0500,311,26,285,0
2019-08-01 09:00:00 -0500,334,11,323,0
2019-08-01 09:15:00 -0500,357,37,320,0
2019-08-01 09:30:00 -0500,380,145,235,0
2019-08-01 09:45:00 -0500,397,114,283,0
2019-08-01 10:00:00 -0500,412,10,402,0
2019-08-01 10:15:00 -0500,425,0,425,0
2019-08-01 10:30:00 -0500,438,0,438,0
2019-08-01 10:45:00 -0500,448,0,448,0
2019-08-01 11:00:00 -0500,323,0,323,0
2019-08-01 11:15:00 -0500,261,0,261,0
2019-08-01 11:30:00 -0500,419,0,419,0
2019-08-01 11:45:00 -0500,486,0,486,0
2019-08-01 12:00:00 -0500,454,0,454,0
2019-08-01 12:15:00 -0500,463,2,461,0
2019-08-01 12:30:00 -0500,449,0,449,0
