Date/Time,Energy Produced (Wh),Energy Consumed (Wh),Exported to Grid (Wh),Imported from Grid (Wh)
2019-01-01 00:00:00 -0600,0,136,0,136
2019-01-01 00:15:00 -0600,0,131,0,131
2019-01-01 00:30:00 -0600,0,132,0,132
2019-01-01 00:45:00 -0600,0,107,0,107
2019-01-01 01:00:00 -0600,0,107,0,107
2019-01-01 01:15:00 -0600,0,121,0,121
2019-01-01 01:30:00 -0600,0,98,0,98
2019-01-01 01:45:00 -0600,0,201,0,201
2019-01-01 02:00:00 -0600,0,134,0,134
2019-01-01 02:15:00 -0600,0,90,0,90
2019-01-01 02:30:00 -0600,0,108,0,108
2019-01-01 02:45:00 -0600,0,77,0,77
2019-01-01 03:00:00 -0600,0,113,0,113
2019-01-01 03:15:00 -0600,0,191,0,191
2019-01-01 03:30:00 -0600,0,260,0,260
2019-01-01 03:45:00 -0600,0,170,0,170
2019-01-01 04:00:00 -0600,0,168,0,168
2019-01-01 04:15:00 -0600,0,159,0,159
2019-01-01 04:30:00 -0600,0,184,0,184
2019-01-01 04:45:00 -0600,0,93,0,93
2019-01-01 05:00:00 -0600,0,100,0,100
2019-01-01 05:15:00 -0600,0,191,0,191
2019-01-01 05:30:00 -0600,0,125,0,125
2019-01-01 05:45:00 -0600,0,155,0,155
2019-01-01 06:00:00 -0600,0,73,0,73
2019-01-01 06:15:00 -0600,0,111,0,111
2019-01-01 06:30:00 -0600,0,152,0,152
2019-01-01 06:45:00 -0600,0,304,0,304
2019-01-01 07:00:00 -0600,0,187,0,187
2019-01-01 07:15:00 -0600,0,69,0,69
2019-01-01 07:30:00 -0600,0,41,0,41
2019-01-01 07:45:00 -0600,0,179,0,179
2019-01-01 08:00:00 -0600,0,57,0,57
2019-01-01 08:15:00 -0600,3,43,0,40
2019-01-01 08:30:00 -0600,9,44,0,35
2019-01-01 08:45:00 -0600,10,42,0,32
2019-01-01 09:00:00 -0600,10,172,0,162
2019-01-01 09:15:00 -0600,7,115,0,108
2019-01-01 09:30:00 -0600,5,30,0,25
2019-01-01 09:45:00 -0600,8,28,0,20
2019-01-01 10:00:00 -0600,9,40,0,31
2019-01-01 10:15:00 -0600,8,311,0,303
2019-01-01 10:30:00 -0600,10,269,0,259
2019-01-01 10:45:00 -0600,12,137,0,125
2019-01-01 11:00:00 -0600,12,52,0,40
2019-01-01 11:15:00 -0600,13,95,0,82
2019-01-01 11:30:00 -0600,13,141,0,128
2019-01-01 11:45:00 -0600,13,165,0,152
2019-01-01 12:00:00 -0600,15,159,0,144
2019-01-01 12:15:00 -0600,15,202,0,187
2019-01-01 12:30:00 -0600,14,23,0,9
2019-01-01 12:45:00 -0600,13,285,0,272
2019-01-01 13:00:00 -0600,11,307,0,296
2019-01-01 13:15:00 -0600,10,247,0,237
2019-01-01 13:30:00 -0600,9,265,0,256
2019-01-01 13:45:00 -0600,9,271,0,262
2019-01-01 14:00:00 -0600,9,72,0,63
2019-01-01 14:15:00 -0600,29,58,0,29
2019-01-01 14:30:00 -0600,17,36,0,19
2019-01-01 14:45:00 -0600,14,38,0,24
2019-01-01 15:00:00 -0600,139,53,86,0
2019-01-01 15:15:00 -0600,42,182,0,140
2019-01-01 15:30:00 -0600,1,86,0,85
2019-01-01 15:45:00 -0600,1,66,0,65
2019-01-01 16:00:00 -0600,0,65,0,65
2019-01-01 16:15:00 -0600,0,101,0,101
2019-01-01 16:30:00 -0600,0,257,0,257
2019-01-01 16:45:00 -0600,0,190,0,190
2019-01-01 17:00:00 -0600,0,53,0,53
2019-01-01 17:15:00 -0600,0,98,0,98
2019-01-01 17:30:00 -0600,0,49,0,49
2019-01-01 17:45:00 -0600,0,88,0,88
2019-01-01 18:00:00 -0600,0,249,0,249
2019-01-01 18:15:00 -0600,0,143,0,143
2019-01-01 18:30:00 -0600,0,111,0,111
2019-01-01 18:45:00 -0600,0,45,0,45
2019-01-01 19:00:00 -0600,0,123,0,123
2019-01-01 19:15:00 -0600,0,152,0,152
2019-01-01 19:30:00 -0600,0,124,0,124
2019-01-01 19:45:00 -0600,0,234,0,234
2019-01-01 20:00:00 -0600,0,178,0,178
2019-01-01 20:15:00 -0600,0,119,0,119
2019-01-01 20:30:00 -0600,0,142,0,142
2019-01-01 20:45:00 -0600,0,136,0,136
2019-01-01 21:00:00 -0600,0,275,0,275
2019-01-01 21:15:00 -0600,0,417,0,417
2019-01-01 21:30:00 -0600,0,340,0,340
2019-01-01 21:45:00 -0600,0,543,0,543
2019-01-01 22:00:00 -0600,0,334,0,334
2019-01-01 22:15:00 -0600,0,282,0,282
2019-01-01 22:30:00 -0600,0,241,0,241
2019-01-01 22:45:00 -0600,0,179,0,179
2019-01-01 23:00:00 -0600,0,121,0,121
2019-01-01 23:15:00 -0600,0,122,0,122
2019-01-01 23:30:00 -0600,0,144,0,144
2019-01-01 23:45:00 -0600,0,184,0,184
2019-01-02 00:00:00 -0600,0,185,0,185
2019-01-02 00:15:00 -0600,0,224,0,224
2019-01-02 00:30:00 -0600,0,135,0,135
2019-01-02 00:45:00 -0600,0,108,0,108
2019-01-02 01:00:00 -0600,0,103,0,103
2019-01-02 01:15:00 -0600,0,204,0,204
2019-01-02 01:30:00 -0600,0,183,0,183
2019-01-02 01:45:00 -0600,0,152,0,152
2019-01-02 02:00:00 -0600,0,113,0,113
2019-01-02 02:15:00 -0600,0,199,0,199
2019-01-02 02:30:00 -0600,0,128,0,128
2019-01-02 02:45:00 -0600,0,262,0,262
2019-01-02 03:00:00 -0600,0,97,0,97
2019-01-02 03:15:00 -0600,0,80,0,80
2019-01-02 03:30:00 -0600,0,152,0,152
2019-01-02 03:45:00 -0600,0,254,0,254
2019-01-02 04:00:00 -0600,0,126,0,126
2019-01-02 04:15:00 -0600,0,75,0,75
2019-01-02 04:30:00 -0600,0,141,0,141
