Date/Time,Energy Produced (Wh),Energy Consumed (Wh),Exported to Grid (Wh),Imported from Grid (Wh)
2019-07-01 00:00:00 -0500,0,56,0,56
2019-07-01 00:15:00 -0500,0,131,0,131
2019-07-01 00:30:00 -0500,0,139,0,139
2019-07-01 00:45:00 -0500,0,81,0,81
2019-07-01 01:00:00 -0500,0,74,0,74
2019-07-01 01:15:00 -0500,0,91,0,91
2019-07-01 01:30:00 -0500,0,88,0,88
2019-07-01 01:45:00 -0500,0,71,0,71
2019-07-01 02:00:00 -0500,0,84,0,84
2019-07-01 02:15:00 -0500,0,94,0,94
2019-07-01 02:30:00 -0500,0,135,0,135
2019-07-01 02:45:00 -0500,0,206,0,206
2019-07-01 03:00:00 -0500,0,190,0,190
2019-07-01 03:15:00 -0500,0,159,0,159
2019-07-01 03:30:00 -0500,0,132,0,132
2019-07-01 03:45:00 -0500,0,73,0,73
2019-07-01 04:00:00 -0500,0,59,0,59
2019-07-01 04:15:00 -0500,0,48,0,48
2019-07-01 04:30:00 -0500,0,61,0,61
2019-07-01 04:45:00 -0500,0,74,0,74
2019-07-01 05:00:00 -0500,0,50,0,50
2019-07-01 05:15:00 -0500,0,51,0,51
2019-07-01 05:30:00 -0500,0,6,0,6
2019-07-01 05:45:00 -0500,0,6,0,6
2019-07-01 06:00:00 -0500,0,6,0,6
2019-07-01 06:15:00 -0500,0,191,0,191
2019-07-01 06:30:00 -0500,0,210,0,210
2019-07-01 06:45:00 -0500,0,331,0,331
2019-07-01 07:00:00 -0500,0,230,0,230
2019-07-01 07:15:00 -0500,0,158,0,158
2019-07-01 07:30:00 -0500,0,144,0,144
2019-07-01 07:45:00 -0500,1,201,0,200
2019-07-01 08:00:00 -0500,5,398,0,393
2019-07-01 08:15:00 -0500,5,91,0,86
2019-07-01 08:30:00 -0500,21,22,0,1
2019-07-01 08:45:00 -0500,50,49,1,0
2019-07-01 09:00:00 -0500,79,96,0,17
2019-07-01 09:15:00 -0500,99,65,34,0
