Date/Time,Energy Produced (Wh),Energy Consumed (Wh),Exported to Grid (Wh),Imported from Grid (Wh)
2019-06-01 00:00:00 -0500,0,129,0,129
2019-06-01 00:15:00 -0500,0,57,0,57
2019-06-01 00:30:00 -0500,0,50,0,50
2019-06-01 00:45:00 -0500,0,39,0,39
2019-06-01 01:00:00 -0500,0,20,0,20
2019-06-01 01:15:00 -0500,0,38,0,38
2019-06-01 01:30:00 -0500,0,91,0,91
2019-06-01 01:45:00 -0500,0,118,0,118
2019-06-01 02:00:00 -0500,0,95,0,95
2019-06-01 02:15:00 -0500,0,90,0,90
2019-06-01 02:30:00 -0500,0,21,0,21
2019-06-01 02:45:00 -0500,0,40,0,40
2019-06-01 03:00:00 -0500,0,70,0,70
2019-06-01 03:15:00 -0500,0,48,0,48
2019-06-01 03:30:00 -0500,0,41,0,41
2019-06-01 03:45:00 -0500,0,56,0,56
2019-06-01 04:00:00 -0500,0,295,0,295
2019-06-01 04:15:00 -0500,0,1272,0,1272
2019-06-01 04:30:00 -0500,0,108,0,108
2019-06-01 04:45:00 -0500,0,141,0,141
2019-06-01 05:00:00 -0500,0,116,0,116
2019-06-01 05:15:00 -0500,0,119,0,119
2019-06-01 05:30:00 -0500,1,140,0,139
2019-06-01 05:45:00 -0500,7,136,0,129
2019-06-01 06:00:00 -0500,7,119,0,112
2019-06-01 06:15:00 -0500,15,123,0,108
2019-06-01 06:30:00 -0500,24,140,0,116
2019-06-01 06:45:00 -0500,35,0,35,0
2019-06-01 07:00:00 -0500,56,0,56,0
2019-06-01 07:15:00 -0500,87,0,87,0
2019-06-01 07:30:00 -0500,108,72,36,0
2019-06-01 07:45:00 -0500,133,27,106,0
2019-06-01 08:00:00 -0500,169,0,169,0
2019-06-01 08:15:00 -0500,197,61,136,0
2019-06-01 08:30:00 -0500,227,144,83,0
2019-06-01 08:45:00 -0500,256,228,28,0
2019-06-01 09:00:00 -0500,277,139,138,0
2019-06-01 09:15:00 -0500,296,382,0,86
2019-06-01 09:30:00 -0500,303,336,0,33
2019-06-01 09:45:00 -0500,311,429,0,118
2019-06-01 10:00:00 -0500,319,302,17,0
2019-06-01 10:15:00 -0500,299,227,72,0
2019-06-01 10:30:00 -0500,259,65,194,0
2019-06-01 10:45:00 -0500,216,49,167,0
2019-06-01 11:00:00 -0500,264,27,237,0
2019-06-01 11:15:00 -0500,269,25,244,0
2019-06-01 11:30:00 -0500,224,30,194,0
2019-06-01 11:45:00 -0500,206,37,169,0
2019-06-01 12:00:00 -0500,207,139,68,0
2019-06-01 12:15:00 -0500,185,223,0,38
2019-06-01 12:30:00 -0500,169,202,0,33
2019-06-01 12:45:00 -0500,145,190,0,45
2019-06-01 13:00:00 -0500,121,232,0,111
2019-06-01 13:15:00 -0500,39,251,0,212
2019-06-01 13:30:00 -0500,30,327,0,297
2019-06-01 13:45:00 -0500,37,254,0,217
2019-06-01 14:00:00 -0500,85,246,0,161
2019-06-01 14:15:00 -0500,176,26,150,0
2019-06-01 14:30:00 -0500,202,56,146,0
2019-06-01 14:45:00 -0500,230,27,203,0
