Date/Time,Energy Produced (Wh),Energy Consumed (Wh),Exported to Grid (Wh),Imported from Grid (Wh)
2018-11-01 00:00:00 -0500,0,29,0,29
2018-11-01 00:15:00 -0500,0,27,0,27
2018-11-01 00:30:00 -0500,0,38,0,38
2018-11-01 00:45:00 -0500,0,47,0,47
2018-11-01 01:00:00 -0500,0,28,0,28
2018-11-01 01:15:00 -0500,0,28,0,28
2018-11-01 01:30:00 -0500,0,31,0,31
2018-11-01 01:45:00 -0500,0,55,0,55
2018-11-01 02:00:00 -0500,0,28,0,28
2018-11-01 02:15:00 -0500,0,28,0,28
2018-11-01 02:30:00 -0500,0,28,0,28
2018-11-01 02:45:00 -0500,0,46,0,46
2018-11-01 03:00:00 -0500,0,41,0,41
2018-11-01 03:15:00 -0500,0,26,0,26
2018-11-01 03:30:00 -0500,0,35,0,35
2018-11-01 03:45:00 -0500,0,48,0,48
2018-11-01 04:00:00 -0500,0,63,0,63
2018-11-01 04:15:00 -0500,0,51,0,51
2018-11-01 04:30:00 -0500,0,70,0,70
2018-11-01 04:45:00 -0500,0,47,0,47
2018-11-01 05:00:00 -0500,0,47,0,47
2018-11-01 05:15:00 -0500,0,49,0,49
2018-11-01 05:30:00 -0500,0,47,0,47
2018-11-01 05:45:00 -0500,0,45,0,45
2018-11-01 06:00:00 -0500,0,131,0,131
2018-11-01 06:15:00 -0500,0,193,0,193
2018-11-01 06:30:00 -0500,0,149,0,149
2018-11-01 06:45:00 -0500,0,154,0,154
2018-11-01 07:00:00 -0500,0,276,0,276
2018-11-01 07:15:00 -0500,0,399,0,399
2018-11-01 07:30:00 -0500,0,201,0,201
2018-11-01 07:45:00 -0500,9,122,0,113
2018-11-01 08:00:00 -0500,11,116,0,105
2018-11-01 08:15:00 -0500,19,115,0,96
2018-11-01 08:30:00 -0500,30,90,0,60
2018-11-01 08:45:00 -0500,48,28,20,0
2018-11-01 09:00:00 -0500,84,0,84,0
2018-11-01 09:15:00 -0500,122,0,122,0
2018-11-01 09:30:00 -0500,191,0,191,0
2018-11-01 09:45:00 -0500,185,0,185,0
2018-11-01 10:00:00 -0500,168,0,168,0
2018-11-01 10:15:00 -0500,233,0,233,0
2018-11-01 10:30:00 -0500,250,0,250,0
2018-11-01 10:45:00 -0500,171,0,171,0
2018-11-01 11:00:00 -0500,128,0,128,0
2018-11-01 11:15:00 -0500,155,0,155,0
2018-11-01 11:30:00 -0500,184,0,184,0
2018-11-01 11:45:00 -0500,171,0,171,0
2018-11-01 12:00:00 -0500,106,0,106,0
2018-11-01 12:15:00 -0500,104,0,104,0
2018-11-01 12:30:00 -0500,118,0,118,0
2018-11-01 12:45:00 -0500,145,0,145,0
2018-11-01 13:00:00 -0500,148,0,148,0
2018-11-01 13:15:00 -0500,137,0,137,0
2018-11-01 13:30:00 -0500,109,1,108,0
