Date/Time,Energy Produced (Wh),Energy Consumed (Wh),Exported to Grid (Wh),Imported from Grid (Wh)
2018-10-01 00:00:00 -0500,0,30,0,30
2018-10-01 00:15:00 -0500,0,43,0,43
2018-10-01 00:30:00 -0500,0,49,0,49
2018-10-01 00:45:00 -0500,0,47,0,47
2018-10-01 01:00:00 -0500,0,27,0,27
2018-10-01 01:15:00 -0500,0,47,0,47
2018-10-01 01:30:00 -0500,0,26,0,26
2018-10-01 01:45:00 -0500,0,181,0,181
2018-10-01 02:00:00 -0500,0,48,0,48
2018-10-01 02:15:00 -0500,0,37,0,37
2018-10-01 02:30:00 -0500,0,49,0,49
2018-10-01 02:45:00 -0500,0,65,0,65
2018-10-01 03:00:00 -0500,0,50,0,50
2018-10-01 03:15:00 -0500,0,112,0,112
2018-10-01 03:30:00 -0500,0,163,0,163
2018-10-01 03:45:00 -0500,0,46,0,46
2018-10-01 04:00:00 -0500,0,43,0,43
2018-10-01 04:15:00 -0500,0,37,0,37
2018-10-01 04:30:00 -0500,0,38,0,38
2018-10-01 04:45:00 -0500,0,36,0,36
2018-10-01 05:00:00 -0500,0,144,0,144
2018-10-01 05:15:00 -0500,0,90,0,90
2018-10-01 05:30:00 -0500,0,26,0,26
2018-10-01 05:45:00 -0500,0,28,0,28
2018-10-01 06:00:00 -0500,0,55,0,55
2018-10-01 06:15:00 -0500,0,90,0,90
2018-10-01 06:30:00 -0500,0,176,0,176
2018-10-01 06:45:00 -0500,0,146,0,146
2018-10-01 07:00:00 -0500,0,139,0,139
2018-10-01 07:15:00 -0500,0,104,0,104
2018-10-01 07:30:00 -0500,2,79,0,77
2018-10-01 07:45:00 -0500,5,83,0,78
2018-10-01 08:00:00 -0500,5,63,0,58
2018-10-01 08:15:00 -0500,11,47,0,36
2018-10-01 08:30:00 -0500,13,36,0,23
2018-10-01 08:45:00 -0500,13,35,0,22
2018-10-01 09:00:00 -0500,14,40,0,26
2018-10-01 09:15:00 -0500,13,47,0,34
2018-10-01 09:30:00 -0500,12,45,0,33
2018-10-01 09:45:00 -0500,11,24,0,13
2018-10-01 10:00:00 -0500,11,15,0,4
2018-10-01 10:15:00 -0500,17,7,10,0
2018-10-01 10:30:00 -0500,20,12,8,0
2018-10-01 10:45:00 -0500,22,19,3,0
2018-10-01 11:00:00 -0500,19,7,12,0
2018-10-01 11:15:00 -0500,16,29,0,13
2018-10-01 11:30:00 -0500,20,4,16,0
2018-10-01 11:45:00 -0500,22,4,18,0
2018-10-01 12:00:00 -0500,20,6,14,0
2018-10-01 12:15:00 -0500,17,28,0,11
2018-10-01 12:30:00 -0500,19,6,13,0
2018-10-01 12:45:00 -0500,21,17,4,0
2018-10-01 13:00:00 -0500,17,20,0,3
2018-10-01 13:15:00 -0500,11,36,0,25
2018-10-01 13:30:00 -0500,7,40,0,33
2018-10-01 13:45:00 -0500,7,53,0,46
2018-10-01 14:00:00 -0500,11,52,0,41
2018-10-01 14:15:00 -0500,19,46,0,27
2018-10-01 14:30:00 -0500,24,68,0,44
2018-10-01 14:45:00 -0500,16,54,0,38
2018-10-01 15:00:00 -0500,8,80,0,72
2018-10-01 15:15:00 -0500,30,122,0,92
2018-10-01 15:30:00 -0500,60,178,0,118
2018-10-01 15:45:00 -0500,34,322,0,288
2018-10-01 16:00:00 -0500,1,280,0,279
2018-10-01 16:15:00 -0500,1,150,0,149
2018-10-01 16:30:00 -0500,0,130,0,130
2018-10-01 16:45:00 -0500,0,148,0,148
2018-10-01 17:00:00 -0500,3,220,0,217
2018-10-01 17:15:00 -0500,5,194,0,189
2018-10-01 17:30:00 -0500,1,181,0,180
2018-10-01 17:45:00 -0500,0,158,0,158
2018-10-01 18:00:00 -0500,0,128,0,128
2018-10-01 18:15:00 -0500,0,284,0,284
2018-10-01 18:30:00 -0500,0,226,0,226
2018-10-01 18:45:00 -0500,0,357,0,357
2018-10-01 19:00:00 -0500,0,278,0,278
2018-10-01 19:15:00 -0500,0,739,0,739
2018-10-01 19:30:00 -0500,0,266,0,266
2018-10-01 19:45:00 -0500,0,170,0,170
2018-10-01 20:00:00 -0500,0,220,0,220
2018-10-01 20:15:00 -0500,0,152,0,152
2018-10-01 20:30:00 -0500,0,74,0,74
2018-10-01 20:45:00 -0500,0,43,0,43
2018-10-01 21:00:00 -0500,0,50,0,50
2018-10-01 21:15:00 -0500,0,187,0,187
2018-10-01 21:30:00 -0500,0,267,0,267
2018-10-01 21:45:00 -0500,0,120,0,120
2018-10-01 22:00:00 -0500,0,39,0,39
2018-10-01 22:15:00 -0500,0,38,0,38
2018-10-01 22:30:00 -0500,0,58,0,58
2018-10-01 22:45:00 -0500,0,166,0,166
2018-10-01 23:00:00 -0500,0,52,0,52
2018-10-01 23:15:00 -0500,0,31,0,31
2018-10-01 23:30:00 -0500,0,42,0,42
