Date/Time,Energy Produced (Wh),Energy Consumed (Wh),Exported to Grid (Wh),Imported from Grid (Wh)
2019-09-01 00:00:00 -0500,0,203,0,203
2019-09-01 00:15:00 -0500,0,244,0,244
2019-09-01 00:30:00 -0500,0,136,0,136
2019-09-01 00:45:00 -0500,0,107,0,107
2019-09-01 01:00:00 -0500,0,184,0,184
2019-09-01 01:15:00 -0500,0,245,0,245
2019-09-01 01:30:00 -0500,0,144,0,144
2019-09-01 01:45:00 -0500,0,120,0,120
2019-09-01 02:00:00 -0500,0,180,0,180
2019-09-01 02:15:00 -0500,0,244,0,244
2019-09-01 02:30:00 -0500,0,119,0,119
2019-09-01 02:45:00 -0500,0,135,0,135
2019-09-01 03:00:00 -0500,0,178,0,178
2019-09-01 03:15:00 -0500,0,163,0,163
2019-09-01 03:30:00 -0500,0,59,0,59
2019-09-01 03:45:00 -0500,0,78,0,78
2019-09-01 04:00:00 -0500,0,94,0,94
2019-09-01 04:15:00 -0500,0,33,0,33
2019-09-01 04:30:00 -0500,0,38,0,38
2019-09-01 04:45:00 -0500,0,27,0,27
2019-09-01 05:00:00 -0500,0,144,0,144
2019-09-01 05:15:00 -0500,0,31,0,31
2019-09-01 05:30:00 -0500,0,40,0,40
2019-09-01 05:45:00 -0500,0,20,0,20
2019-09-01 06:00:00 -0500,0,53,0,53
2019-09-01 06:15:00 -0500,0,171,0,171
2019-09-01 06:30:00 -0500,4,149,0,145
2019-09-01 06:45:00 -0500,12,133,0,121
2019-09-01 07:00:00 -0500,15,150,0,135
2019-09-01 07:15:00 -0500,22,292,0,270
2019-09-01 07:30:00 -0500,31,54,0,23
2019-09-01 07:45:00 -0500,87,54,33,0
2019-09-01 08:00:00 -0500,68,249,0,181
2019-09-01 08:15:00 -0500,68,317,0,249
2019-09-01 08:30:00 -0500,84,17,67,0
2019-09-01 08:45:00 -0500,102,0,102,0
2019-09-01 09:00:00 -0500,109,0,109,0
2019-09-01 09:15:00 -0500,119,0,119,0
2019-09-01 09:30:00 -0500,117,0,117,0
2019-09-01 09:45:00 -0500,110,0,110,0
2019-09-01 10:00:00 -0500,130,18,112,0
2019-09-01 10:15:00 -0500,123,85,38,0
2019-09-01 10:30:00 -0500,170,54,116,0
2019-09-01 10:45:00 -0500,252,16,236,0
2019-09-01 11:00:00 -0500,377,8,369,0
2019-09-01 11:15:00 -0500,271,0,271,0
2019-09-01 11:30:00 -0500,206,0,206,0
2019-09-01 11:45:00 -0500,238,1,237,0
2019-09-01 12:00:00 -0500,403,0,403,0
2019-09-01 12:15:00 -0500,252,0,252,0
2019-09-01 12:30:00 -0500,481,0,481,0
2019-09-01 12:45:00 -0500,473,0,473,0
2019-09-01 13:00:00 -0500,418,0,418,0
2019-09-01 13:15:00 -0500,379,0,379,0
2019-09-01 13:30:00 -0500,445,0,445,0
2019-09-01 13:45:00 -0500,474,0,474,0
2019-09-01 14:00:00 -0500,393,15,378,0
2019-09-01 14:15:00 -0500,269,132,137,0
2019-09-01 14:30:00 -0500,382,47,335,0
2019-09-01 14:45:00 -0500,209,22,187,0
2019-09-01 15:00:00 -0500,362,12,350,0
2019-09-01 15:15:00 -0500,380,1,379,0
2019-09-01 15:30:00 -0500,348,0,348,0
2019-09-01 15:45:00 -0500,326,0,326,0
2019-09-01 16:00:00 -0500,161,0,161,0
2019-09-01 16:15:00 -0500,207,0,207,0
2019-09-01 16:30:00 -0500,207,0,207,0
2019-09-01 16:45:00 -0500,155,0,155,0
2019-09-01 17:00:00 -0500,145,0,145,0
2019-09-01 17:15:00 -0500,108,83,25,0
2019-09-01 17:30:00 -0500,67,53,14,0
2019-09-01 17:45:00 -0500,53,69,0,16
2019-09-01 18:00:00 -0500,26,107,0,81
2019-09-01 18:15:00 -0500,16,127,0,111
2019-09-01 18:30:00 -0500,14,229,0,215
2019-09-01 18:45:00 -0500,13,261,0,248
2019-09-01 19:00:00 -0500,9,306,0,297
2019-09-01 19:15:00 -0500,1,289,0,288
2019-09-01 19:30:00 -0500,0,254,0,254
2019-09-01 19:45:00 -0500,0,146,0,146
2019-09-01 20:00:00 -0500,0,470,0,470
2019-09-01 20:15:00 -0500,0,232,0,232
2019-09-01 20:30:00 -0500,0,169,0,169
2019-09-01 20:45:00 -0500,0,135,0,135
2019-09-01 21:00:00 -0500,0,222,0,222
2019-09-01 21:15:00 -0500,0,251,0,251
2019-09-01 21:30:00 -0500,0,199,0,199
2019-09-01 21:45:00 -0500,0,178,0,178
2019-09-01 22:00:00 -0500,0,280,0,280
2019-09-01 22:15:00 -0500,0,346,0,346
2019-09-01 22:30:00 -0500,0,227,0,227
2019-09-01 22:45:00 -0500,0,232,0,232
2019-09-01 23:00:00 -0500,0,195,0,195
2019-09-01 23:15:00 -0500,0,349,0,349
2019-09-01 23:30:00 -0500,0,182,0,182
2019-09-01 23:45:00 -0500,0,132,0,132
2019-09-02 00:00:00 -0500,0,147,0,147
2019-09-02 00:15:00 -0500,0,298,0,298
2019-09-02 00:30:00 -0500,0,161,0,161
2019-09-02 00:45:00 -0500,0,150,0,150
2019-09-02 01:00:00 -0500,0,127,0,127
2019-09-02 01:15:00 -0500,0,204,0,204
2019-09-02 01:30:00 -0500,0,218,0,218
2019-09-02 01:45:00 -0500,0,94,0,94
2019-09-02 02:00:00 -0500,0,23,0,23
2019-09-02 02:15:00 -0500,0,85,0,85
2019-09-02 02:30:00 -0500,0,120,0,120
2019-09-02 02:45:00 -0500,0,25,0,25
2019-09-02 03:00:00 -0500,0,49,0,49
2019-09-02 03:15:00 -0500,0,57,0,57
2019-09-02 03:30:00 -0500,0,124,0,124
2019-09-02 03:45:00 -0500,0,45,0,45
2019-09-02 04:00:00 -0500,0,20,0,20
2019-09-02 04:15:00 -0500,0,46,0,46
2019-09-02 04:30:00 -0500,0,242,0,242
2019-09-02 04:45:00 -0500,0,204,0,204
2019-09-02 05:00:00 -0500,0,165,0,165
2019-09-02 05:15:00 -0500,0,169,0,169
2019-09-02 05:30:00 -0500,0,238,0,238
2019-09-02 05:45:00 -0500,0,210,0,210
2019-09-02 06:00:00 -0500,0,152,0,152
2019-09-02 06:15:00 -0500,0,125,0,125
2019-09-02 06:30:00 -0500,4,131,0,127
2019-09-02 06:45:00 -0500,13,102,0,89
2019-09-02 07:00:00 -0500,31,85,0,54
2019-09-02 07:15:00 -0500,59,278,0,219
2019-09-02 07:30:00 -0500,90,393,0,303
2019-09-02 07:45:00 -0500,109,99,10,0
2019-09-02 08:00:00 -0500,114,37,77,0
2019-09-02 08:15:00 -0500,160,209,0,49
2019-09-02 08:30:00 -0500,204,87,117,0
2019-09-02 08:45:00 -0500,237,4,233,0
2019-09-02 09:00:00 -0500,293,1,292,0
2019-09-02 09:15:00 -0500,179,96,83,0
2019-09-02 09:30:00 -0500,331,65,266,0
2019-09-02 09:45:00 -0500,328,92,236,0
2019-09-02 10:00:00 -0500,216,154,62,0
2019-09-02 10:15:00 -0500,241,130,111,0
2019-09-02 10:30:00 -0500,156,67,89,0
2019-09-02 10:45:00 -0500,331,12,319,0
2019-09-02 11:00:00 -0500,350,21,329,0
2019-09-02 11:15:00 -0500,321,19,302,0
2019-09-02 11:30:00 -0500,138,0,138,0
2019-09-02 11:45:00 -0500,164,1,163,0
