H,High,High,High,High,Low,W
A,Medium,Low,Low,Medium,High,L
H,High,High,High,Medium,High,W
A,Medium,Medium,Medium,Medium,Medium,L
A,High,High,High,Medium,Low,W
H,High,High,Medium,High,Medium,W
A,Low,Low,Medium,Low,Medium,L
H,Medium,High,High,Medium,Medium,W
A,High,Medium,Medium,Medium,Medium,L
H,Medium,Medium,Medium,Medium,Medium,W
A,Low,Medium,Medium,Medium,Medium,L
H,Low,Low,Low,Medium,Low,W
A,Medium,High,Medium,High,Medium,W
A,Medium,Medium,Medium,Medium,High,L
H,Medium,Medium,Medium,Medium,Low,W
H,Medium,Low,Medium,Medium,Medium,W
H,Medium,Medium,Medium,Medium,Low,W
H,High,Medium,High,Medium,High,L
H,Medium,Low,Medium,Low,High,L
H,Low,Low,Low,Medium,High,L
A,Medium,Medium,High,Low,High,L
H,Medium,Medium,Medium,Medium,Medium,L
H,High,High,Medium,High,Low,W
H,Medium,Medium,High,Low,High,L
A,High,Medium,Medium,High,Low,W
H,Medium,Medium,High,Low,High,L
H,Low,Low,Medium,Low,Medium,L
A,High,High,Medium,High,Medium,W
H,Medium,High,High,High,Medium,W
H,Low,Low,Low,Medium,Medium,L
A,Low,Low,Low,Low,Medium,L
A,Medium,Low,Low,High,Medium,W
H,High,High,Medium,High,Medium,W
H,Medium,Medium,High,Low,Medium,W
H,Low,Low,Low,Medium,High,L
H,Medium,Medium,Medium,Medium,Medium,W
H,High,High,Medium,High,High,L
H,Medium,Medium,Medium,Medium,Low,L
A,Low,Medium,Medium,High,Low,W
H,High,High,High,High,Medium,W
H,Medium,Medium,Medium,Medium,Medium,W
H,Medium,Medium,Medium,Medium,Medium,L
A,Medium,Medium,High,Low,Medium,L
H,Medium,Medium,High,Low,High,L
A,Medium,High,High,Low,Medium,W
A,High,High,High,High,High,W
H,High,High,Low,High,High,W
H,Medium,Medium,Medium,High,Medium,W
H,High,High,Medium,High,Medium,W
A,Medium,Medium,Medium,Medium,High,L
H,Low,Low,Low,Medium,Medium,L
H,Low,Low,Medium,Low,Medium,L
A,Low,Low,Medium,Low,High,L
H,Low,Medium,Medium,Low,Medium,L
A,Medium,Medium,High,Medium,High,W
A,Medium,Low,Low,Medium,High,L
A,Low,Medium,Medium,Medium,Medium,W
A,Low,Low,Low,Low,High,L
H,Low,Low,Low,Low,Medium,W
A,Low,Medium,High,Low,High,L
A,Medium,Medium,Medium,Medium,High,L
A,Low,Medium,Medium,Medium,Medium,L
H,Medium,Medium,High,Low,Low,W
A,Medium,Medium,Medium,Medium,Low,W
A,Medium,Low,Low,High,Medium,L
A,Medium,High,High,High,Medium,W
H,High,Medium,Medium,Medium,High,L
H,Medium,Medium,Medium,Medium,Medium,W
A,High,High,High,Medium,Low,W
A,Medium,Medium,Medium,Medium,Low,L
A,Medium,Medium,Medium,Medium,Medium,L
A,Medium,High,High,High,Medium,W
A,High,High,High,High,Medium,W
H,Medium,High,High,Medium,High,L
H,Medium,Medium,Medium,High,Medium,L
A,Medium,High,High,Medium,High,L
A,Medium,Medium,Low,High,Medium,W
H,Low,Low,Medium,Low,High,L
A,Medium,High,High,High,Medium,W
A,Low,Low,Low,Medium,Low,L
H,Medium,Medium,Medium,Medium,Medium,W
A,Medium,Medium,Low,High,Low,W
H,High,High,Medium,High,Low,W
A,Medium,Medium,Medium,High,Medium,L
H,Medium,Medium,Medium,Medium,Medium,W
A,Low,Low,Low,Medium,Medium,L
A,Medium,Medium,Low,High,High,L
H,Medium,Medium,Medium,Medium,Medium,L
H,High,Medium,Medium,Medium,Medium,L
H,Low,Low,Low,Low,Low,L
A,High,Medium,Medium,Medium,Low,W
A,Low,Medium,Medium,Low,Medium,L
H,High,High,High,Medium,High,W
A,Medium,Medium,Medium,High,Medium,W
H,Medium,Medium,Medium,Medium,High,L
H,Low,Medium,Low,Medium,High,L
A,High,Medium,Medium,Medium,Low,W
A,Medium,Medium,Medium,Low,High,L
A,Medium,Low,Medium,Low,High,L
H,High,High,Medium,High,Medium,W
H,Low,Low,Low,Low,Medium,L
A,Medium,Low,Low,Low,Medium,L
H,Low,Medium,Medium,Medium,High,L
H,High,High,Medium,High,Medium,W
H,Medium,High,Medium,High,High,W
H,Medium,Medium,Medium,Medium,High,L
