H,-8,-134,-45,-89,-2,W
A,2,-7,-28,21,-3,W
H,-5,-166,-30,-136,1,L
H,-2,-4,-227,223,-3,W
A,7,116,111,5,0,W
A,-12,-158,-56,-102,2,L
H,-6,-3,-4,1,2,L
A,1,-38,-51,13,-2,W
H,7,115,43,72,-1,L
H,9,148,34,114,3,W
A,-4,-39,-16,-23,-2,W
A,3,2,25,-23,-4,W
H,6,-48,-52,4,0,W
H,-4,-61,-54,-7,-1,L
A,-3,-31,11,-42,5,L
H,-1,-33,13,-46,-2,W
A,5,94,21,73,-1,W
A,10,175,114,61,1,W
H,-8,-37,31,-68,-3,W
H,-8,-48,-35,-13,3,L
A,2,61,96,-35,2,L
A,17,259,-4,263,-2,W
H,2,-109,-33,-76,0,L
A,-5,-128,-165,37,-3,W
A,6,62,198,-136,3,L
A,-18,-273,-176,-97,-1,L
H,-2,7,28,-21,3,L
H,2,-34,26,-60,-1,L
A,9,48,45,3,1,L
H,-5,-160,-258,98,1,L
H,2,-135,-115,-20,2,L
H,11,193,30,163,0,W
H,12,157,103,54,0,W
A,5,61,108,-47,-1,L
A,-2,-57,-137,80,-1,W
A,1,-35,-138,103,-1,W
H,-2,38,-20,58,0,W
H,-4,-197,-133,-64,0,L
H,7,-14,-5,-9,2,L
H,4,140,200,-60,0,W
A,-10,-102,-51,-51,0,W
A,6,71,-14,85,-1,W
A,-15,-197,-108,-89,-3,L
A,8,48,35,13,-3,W
H,-8,-164,-94,-70,-1,L
A,-14,-161,4,-165,0,L
H,7,99,171,-72,1,L
A,5,-116,-57,-59,4,L
A,-11,-249,-229,-20,0,W
H,-4,16,-20,36,1,W
H,5,128,165,-37,3,L
H,16,213,104,109,0,W
A,8,37,109,-72,-2,W
H,-1,-31,-30,-1,0,W
A,9,159,287,-128,0,L
A,16,195,113,82,-3,W
H,-8,-37,-109,72,2,L
H,-3,141,146,-5,-1,W
H,-3,-191,-65,-126,0,L
H,10,147,91,56,1,W
H,9,-4,64,-68,3,L
A,-6,-40,3,-43,-1,L
A,2,4,227,-223,3,L
A,-2,26,95,-69,-2,L
A,-11,-193,-173,-20,1,L
A,-9,4,-64,68,-3,W
H,10,102,51,51,0,L
A,0,-24,-35,11,-5,W
H,-2,-74,-79,5,-2,L
H,9,157,90,67,-1,W
A,-1,39,31,8,1,L
H,-7,-2,-1,-1,0,W
H,-12,-174,-184,10,-1,L
H,14,161,-4,165,0,W
H,4,24,-39,63,0,W
H,-1,66,2,64,-2,W
H,7,38,-57,95,0,W
A,-5,-176,-277,101,0,L
H,-6,-147,-87,-60,-3,L
A,-2,135,115,20,-2,W
A,-8,-218,-142,-76,1,L
H,6,-8,-32,24,0,W
A,-2,-186,55,-241,1,L
A,-7,-115,-43,-72,1,W
A,-12,-188,-270,82,-3,W
H,1,-39,-31,-8,-1,W
H,4,-100,-156,56,0,L
H,3,41,42,-1,1,L
A,-16,-163,-118,-45,-1,L
H,-9,-48,-45,-3,-1,W
H,4,30,-106,136,0,W
H,15,197,108,89,3,W
A,13,172,79,93,1,L
H,-3,-113,-136,23,0,L
A,5,144,-14,158,0,W
A,1,19,19,0,-1,W
A,-10,-70,-91,21,-2,W
A,-3,-18,-67,49,-3,W
A,1,169,-14,183,-4,W
A,-14,-230,-262,32,-3,W
H,7,120,56,64,-1,W
A,-12,-151,-90,-61,-3,W
H,2,-82,-2,-80,0,L
A,2,239,212,27,0,L
H,6,83,-40,123,-1,W
