,,1stD Diff,TotYd Diff,PassY Diff,RushY Diff,TO Diff,,,,,,,,,
Low,Min,-19,-443,-293,-263,-6,,,,,,,,,
Medium,Q2,0,0,0,0,0,,,,,,,,,
High,Max,19,443,293,263,6,,,,,,,,,
,,,,,,,,,,,,,,,
-500,Low,,-500,Low,,-500,Low,,-500,Low,,-500,Low,,
-6,Medium,,-80,Medium,,-75,Medium,,-60,Medium,,-1,Medium,,
6,High,,80,High,,75,High,,60,High,,1,High,,
19,,,443,,,293,,,263,,,6,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
-500,Low,,-500,Low,,-500,Low,,-500,Low,,-500,Low,,
-5.75,Medium,,-78.75,Medium,,-71,Medium,,-54,Medium,,-1,Medium,,79
5.75,High,,78.75,High,,71,High,,54,High,,1,High,,
19,,,443,,,293,,,263,,,6,,,
,,,,,,,,,,,,,,,
-500,Low,,-500,Low,,-500,Low,,-500,Low,,-500,Low,,
-5,Medium,,-70,Medium,,-65,Medium,,-50,Medium,,-2,Medium,,77
5,High,,70,High,,65,High,,50,High,,2,High,,
19,,,443,,,293,,,263,,,6,,,
