Where,1stD H,TotYd H,PassY H,RushY H,TO H,1stD A,TotYd A,PassY A,RushY A,TO A,1stD Diff,TotYd Diff,PassY Diff,RushY Diff,TO Diff,Outcome
H,25,491,235,256,0,16,232,110,122,2,9,259,125,134,-2,W
A,16,175,102,73,2,20,326,260,66,1,-4,-151,-158,7,1,L
H,21,381,313,68,2,6,105,69,36,1,15,276,244,32,1,W
A,29,418,319,99,1,31,492,347,145,1,-2,-74,-28,-46,0,L
A,23,381,291,90,0,14,224,186,38,3,9,157,105,52,-3,W
H,26,497,228,269,1,18,250,217,33,1,8,247,11,236,0,W
A,10,168,77,91,2,19,304,81,223,2,-9,-136,-4,-132,0,L
H,25,510,362,148,1,22,414,234,180,1,3,96,128,-32,0,W
A,31,444,341,103,0,24,442,340,102,0,7,2,1,1,0,L
H,18,277,233,44,0,15,271,209,62,0,3,6,24,-18,0,W
A,15,378,285,93,0,29,388,258,130,0,-14,-10,27,-37,0,L
H,12,232,160,72,1,22,429,395,34,3,-10,-197,-235,38,-2,W
A,25,467,222,245,0,20,301,192,109,1,5,166,30,136,-1,W
A,15,222,182,40,2,17,269,197,72,0,-2,-47,-15,-32,2,L
H,25,424,311,113,0,22,393,322,71,5,3,31,-11,42,-5,W
H,19,339,245,94,2,21,424,287,137,2,-2,-85,-42,-43,0,W
H,18,294,218,76,0,15,281,258,23,2,3,13,-40,53,-2,W
H,32,426,323,103,2,22,356,232,124,0,10,70,91,-21,2,L
H,21,291,258,33,4,22,460,244,216,0,-1,-169,14,-183,4,L
H,13,233,161,72,1,24,390,311,79,0,-11,-157,-150,-7,1,L
A,26,473,383,90,2,25,450,279,171,0,1,23,104,-81,2,L
H,16,209,105,104,1,18,257,139,118,1,-2,-48,-34,-14,0,L
H,23,402,213,189,1,16,283,168,115,4,7,119,45,74,-3,W
H,20,352,313,39,1,16,289,189,100,0,4,63,124,-61,1,L
A,25,379,264,115,0,16,329,288,41,3,9,50,-24,74,-3,W
H,18,307,209,98,2,19,272,71,201,1,-1,35,138,-103,1,L
H,14,316,291,25,1,27,571,312,259,1,-13,-255,-21,-234,0,L
A,27,571,312,259,1,14,316,291,25,1,13,255,21,234,0,W
H,20,380,265,115,1,15,244,187,57,1,5,136,78,58,0,W
H,19,312,191,121,0,26,509,434,75,1,-7,-197,-243,46,-1,L
A,22,373,316,57,1,31,592,426,166,1,-9,-219,-110,-109,0,L
A,27,364,211,153,0,24,443,393,50,1,3,-79,-182,103,-1,W
H,24,444,226,218,2,17,354,276,78,3,7,90,-50,140,-1,W
H,27,503,363,140,0,29,452,249,203,0,-2,51,114,-63,0,W
H,12,154,73,81,6,22,323,249,74,1,-10,-169,-176,7,5,L
H,14,259,174,85,1,16,260,185,75,2,-2,-1,-11,10,-1,W
H,26,388,226,162,2,11,231,195,36,1,15,157,31,126,1,L
H,18,243,119,124,0,21,288,121,167,2,-3,-45,-2,-43,-2,L
A,13,311,166,145,0,21,271,187,84,2,-8,40,-21,61,-2,W
H,26,373,227,146,0,10,164,102,62,1,16,209,125,84,-1,W
H,23,383,321,62,1,21,391,291,100,2,2,-8,30,-38,-1,W
H,21,351,210,141,2,26,397,268,129,2,-5,-46,-58,12,0,L
A,22,342,268,74,2,26,372,162,210,2,-4,-30,106,-136,0,L
H,21,356,282,74,4,21,410,194,216,1,0,-54,88,-142,3,L
A,24,467,436,31,1,19,307,178,129,2,5,160,258,-98,-1,W
A,25,425,274,151,2,17,261,180,81,1,8,164,94,70,1,W
H,23,389,125,264,2,15,308,279,29,1,8,81,-154,235,1,W
H,26,445,219,226,1,25,393,241,152,2,1,52,-22,74,-1,W
H,19,304,81,223,2,10,168,77,91,2,9,136,4,132,0,W
A,18,236,178,58,4,17,293,189,104,0,1,-57,-11,-46,4,L
H,17,305,134,171,1,25,432,312,120,1,-8,-127,-178,51,0,L
H,17,241,184,57,1,31,481,238,243,1,-14,-240,-54,-186,0,L
A,17,306,240,66,4,25,416,241,175,2,-8,-110,-1,-109,2,L
H,19,352,251,101,1,27,415,258,157,1,-8,-63,-7,-56,0,L
A,20,344,254,90,3,18,270,175,95,1,2,74,79,-5,2,W
A,18,231,161,70,2,22,354,234,120,0,-4,-123,-73,-50,2,L
A,13,229,159,70,2,19,300,191,109,3,-6,-71,-32,-39,-1,W
A,10,213,161,52,4,27,427,313,114,2,-17,-214,-152,-62,2,L
H,16,276,224,52,0,29,448,303,145,1,-13,-172,-79,-93,-1,W
A,19,286,199,87,3,25,324,106,218,0,-6,-38,93,-131,3,L
A,15,281,258,23,2,18,294,218,76,0,-3,-13,40,-53,2,L
A,12,243,116,127,0,18,268,146,122,0,-6,-25,-30,5,0,L
H,23,494,405,89,0,25,470,319,151,2,-2,24,86,-62,-2,W
A,22,391,301,90,1,26,414,280,134,3,-4,-23,21,-44,-2,W
A,16,246,73,173,2,20,386,273,113,2,-4,-140,-200,60,0,L
A,24,429,257,172,2,20,271,171,100,3,4,158,86,72,-1,W
H,19,300,191,109,3,13,229,159,70,2,6,71,32,39,1,L
H,31,492,347,145,1,29,418,319,99,1,2,74,28,46,0,W
A,22,323,249,74,1,12,154,73,81,6,10,169,176,-7,-5,W
A,22,384,262,122,1,24,412,274,138,3,-2,-28,-12,-16,-2,L
A,25,430,371,59,1,29,502,406,96,1,-4,-72,-35,-37,0,L
A,26,552,391,161,1,22,355,258,97,1,4,197,133,64,0,W
A,27,525,330,195,0,15,252,164,88,0,12,273,166,107,0,W
H,19,435,329,106,5,15,229,161,68,2,4,206,168,38,3,L
H,29,447,261,186,2,29,438,315,123,3,0,9,-54,63,-1,L
A,17,359,244,115,2,13,218,134,84,1,4,141,110,31,1,L
A,16,289,189,100,0,20,352,313,39,1,-4,-63,-124,61,-1,W
H,13,224,133,91,1,21,412,159,253,0,-8,-188,-26,-162,1,L
A,22,490,279,211,1,18,211,147,64,1,4,279,132,147,0,W
A,16,309,243,66,1,29,542,467,75,4,-13,-233,-224,-9,-3,L
H,22,374,262,112,1,22,362,240,122,1,0,12,22,-10,0,W
A,21,328,219,109,0,21,334,298,36,4,0,-6,-79,73,-4,W
H,24,388,156,232,1,12,230,100,130,3,12,158,56,102,-2,W
A,20,394,270,124,1,19,321,284,37,2,1,73,-14,87,-1,L
H,18,323,199,124,1,19,279,173,106,2,-1,44,26,18,-1,W
A,13,191,95,96,0,25,348,198,150,0,-12,-157,-103,-54,0,L
A,21,484,329,155,2,22,481,421,60,0,-1,3,-92,95,2,L
H,22,366,293,73,1,20,376,337,39,1,2,-10,-44,34,0,L
H,27,348,223,125,0,18,398,270,128,0,9,-50,-47,-3,0,L
H,7,139,82,57,1,22,383,199,184,3,-15,-244,-117,-127,-2,L
A,24,491,378,113,0,18,428,347,81,2,6,63,31,32,-2,W
A,15,398,370,28,0,22,436,313,123,0,-7,-38,57,-95,0,L
H,27,418,300,118,1,11,255,182,73,0,16,163,118,45,1,W
A,20,275,135,140,2,17,236,165,71,3,3,39,-30,69,-1,W
H,15,205,134,71,1,14,271,191,80,0,1,-66,-57,-9,1,L
H,14,329,193,136,3,28,373,286,87,1,-14,-44,-93,49,2,L
A,24,337,179,158,1,14,300,126,174,3,10,37,53,-16,-2,W
A,12,204,165,39,3,11,270,167,103,1,1,-66,-2,-64,2,L
A,16,230,170,60,4,21,394,236,158,1,-5,-164,-66,-98,3,L
H,25,398,229,169,2,15,236,194,42,2,10,162,35,127,0,W
H,13,225,171,54,1,23,400,285,115,2,-10,-175,-114,-61,-1,L
A,15,244,187,57,1,20,380,265,115,1,-5,-136,-78,-58,0,L
H,14,300,126,174,3,24,337,179,158,1,-10,-37,-53,16,2,L
H,26,440,258,182,0,15,349,329,20,0,11,91,-71,162,0,W
H,21,471,252,219,2,23,369,252,117,1,-2,102,0,102,1,W
H,26,414,280,134,3,22,391,301,90,1,4,23,-21,44,2,L
H,14,242,193,49,4,19,315,241,74,1,-5,-73,-48,-25,3,L
A,22,419,331,88,1,19,364,259,105,1,3,55,72,-17,0,W
A,17,268,209,59,1,23,407,365,42,7,-6,-139,-156,17,-6,W
H,19,360,219,141,1,24,425,253,172,1,-5,-65,-34,-31,0,W
A,14,279,184,95,0,27,348,259,89,3,-13,-69,-75,6,-3,W
H,17,305,188,117,0,24,381,272,109,2,-7,-76,-84,8,-2,W
A,15,213,167,46,3,21,389,278,111,1,-6,-176,-111,-65,2,L
H,20,313,193,120,2,20,290,201,89,1,0,23,-8,31,1,L
A,18,313,204,109,1,14,252,150,102,0,4,61,54,7,1,W
H,23,388,225,163,0,26,401,281,120,2,-3,-13,-56,43,-2,W
H,17,236,165,71,3,20,275,135,140,2,-3,-39,30,-69,1,L
H,18,341,167,174,1,18,262,141,121,1,0,79,26,53,0,W
H,22,517,294,223,1,13,271,183,88,2,9,246,111,135,-1,W
H,21,394,236,158,1,16,230,170,60,4,5,164,66,98,-3,W
H,25,324,106,218,0,19,286,199,87,3,6,38,-93,131,-3,W
H,15,252,164,88,0,27,525,330,195,0,-12,-273,-166,-107,0,L
H,18,268,146,122,0,12,243,116,127,0,6,25,30,-5,0,W
A,17,267,193,74,1,13,283,173,110,2,4,-16,20,-36,-1,L
H,18,324,288,36,1,25,331,151,180,1,-7,-7,137,-144,0,L
A,15,313,239,74,3,22,361,182,179,1,-7,-48,57,-105,2,L
A,16,311,257,54,1,23,431,313,118,0,-7,-120,-56,-64,1,L
H,19,334,215,119,2,24,395,323,72,1,-5,-61,-108,47,1,W
A,18,273,120,153,0,27,372,282,90,1,-9,-99,-162,63,-1,W
H,19,367,310,57,3,18,286,237,49,3,1,81,73,8,0,W
A,24,424,273,151,0,16,252,235,17,2,8,172,38,134,-2,W
H,20,382,326,56,1,26,399,270,129,0,-6,-17,56,-73,1,W
A,14,271,191,80,0,15,205,134,71,1,-1,66,57,9,-1,W
H,24,442,283,159,0,13,184,139,45,0,11,258,144,114,0,W
H,17,293,189,104,0,18,236,178,58,4,-1,57,11,46,-4,W
A,10,164,102,62,1,26,373,227,146,0,-16,-209,-125,-84,1,L
A,14,340,141,199,0,20,347,241,106,2,-6,-7,-100,93,-2,W
H,19,371,146,225,1,28,530,433,97,1,-9,-159,-287,128,0,W
A,15,331,157,174,1,21,283,105,178,1,-6,48,52,-4,0,L
A,26,315,169,146,3,18,278,200,78,0,8,37,-31,68,3,L
A,22,331,232,99,2,10,157,48,109,1,12,174,184,-10,1,W
H,16,396,297,99,1,19,296,121,175,0,-3,100,176,-76,1,W
A,25,393,241,152,2,26,445,219,226,1,-1,-52,22,-74,1,L
H,11,184,142,42,4,27,379,255,124,1,-16,-195,-113,-82,3,L
H,13,226,145,81,0,21,357,259,98,1,-8,-131,-114,-17,-1,W
A,24,425,253,172,1,19,360,219,141,1,5,65,34,31,0,L
H,21,370,262,108,0,26,514,248,266,0,-5,-144,14,-158,0,L
A,15,229,161,68,2,19,435,329,106,5,-4,-206,-168,-38,-3,W
A,22,284,192,92,2,30,467,320,147,1,-8,-183,-128,-55,1,L
A,23,386,294,92,1,26,409,351,58,1,-3,-23,-57,34,0,L
A,20,310,161,149,3,16,312,235,77,0,4,-2,-74,72,3,L
H,19,324,227,97,2,22,362,226,136,1,-3,-38,1,-39,1,L
A,14,268,176,92,0,23,414,271,143,1,-9,-146,-95,-51,-1,L
H,18,269,97,172,0,27,345,272,73,3,-9,-76,-175,99,-3,W
H,18,264,128,136,2,19,297,203,94,3,-1,-33,-75,42,-1,L
A,9,128,61,67,3,17,265,181,84,1,-8,-137,-120,-17,2,L
H,17,345,283,62,7,18,344,207,137,1,-1,1,76,-75,6,L
H,22,445,160,285,0,28,507,358,149,3,-6,-62,-198,136,-3,W
A,20,290,201,89,1,20,313,193,120,2,0,-23,8,-31,-1,W
A,19,279,173,106,2,18,323,199,124,1,1,-44,-26,-18,1,L
H,23,407,365,42,7,17,268,209,59,1,6,139,156,-17,6,L
H,31,491,414,77,2,24,336,160,176,0,7,155,254,-99,2,L
H,17,309,236,73,3,18,271,185,86,1,-1,38,51,-13,2,L
H,21,248,127,121,2,21,413,240,173,1,0,-165,-113,-52,1,L
A,21,364,189,175,4,13,230,144,86,2,8,134,45,89,2,L
A,8,176,121,55,4,24,389,225,164,4,-16,-213,-104,-109,0,L
H,17,273,183,90,2,22,328,189,139,3,-5,-55,-6,-49,-1,W
A,19,400,292,108,3,26,447,325,122,2,-7,-47,-33,-14,1,L
A,20,379,243,136,1,21,307,150,157,3,-1,72,93,-21,-2,W
H,19,315,151,164,5,19,291,116,175,0,0,24,35,-11,5,L
H,22,259,163,96,0,19,332,210,122,3,3,-73,-47,-26,-3,W
H,20,321,206,115,1,21,340,225,115,0,-1,-19,-19,0,1,L
A,21,410,194,216,1,21,356,282,74,4,0,54,-88,142,-3,W
H,29,542,467,75,4,16,309,243,66,1,13,233,224,9,3,W
H,29,502,406,96,1,25,430,371,59,1,4,72,35,37,0,W
H,21,295,174,121,4,17,256,158,98,2,4,39,16,23,2,L
A,11,231,195,36,1,26,388,226,162,2,-15,-157,-31,-126,-1,W
H,17,377,230,147,1,17,308,212,96,0,0,69,18,51,1,W
H,25,416,241,175,2,17,306,240,66,4,8,110,1,109,-2,W
A,20,446,313,133,2,22,337,280,57,2,-2,109,33,76,0,W
H,27,419,327,92,1,15,251,199,52,1,12,168,128,40,0,W
A,15,421,223,198,4,20,335,191,144,2,-5,86,32,54,2,L
H,22,370,214,156,1,24,431,310,121,3,-2,-61,-96,35,-2,W
A,23,442,312,130,1,11,223,78,145,2,12,219,234,-15,-1,W
H,32,563,441,122,3,24,335,215,120,0,8,228,226,2,3,L
A,20,346,271,75,2,17,278,184,94,1,3,68,87,-19,1,W
H,28,518,383,135,2,17,288,173,115,1,11,230,210,20,1,W
H,23,418,300,118,1,26,351,230,121,1,-3,67,70,-3,0,W
A,19,332,210,122,3,22,259,163,96,0,-3,73,47,26,3,L
A,16,308,202,106,1,26,455,293,162,2,-10,-147,-91,-56,-1,L
H,12,292,192,100,0,20,415,319,96,3,-8,-123,-127,4,-3,W
A,15,271,209,62,0,18,277,233,44,0,-3,-6,-24,18,0,L
H,25,475,212,263,0,23,289,267,22,1,2,186,-55,241,-1,W
A,21,351,261,90,0,13,302,175,127,1,8,49,86,-37,-1,L
A,24,317,174,143,1,18,310,258,52,0,6,7,-84,91,1,W
H,23,414,271,143,1,14,268,176,92,0,9,146,95,51,1,W
H,22,361,182,179,1,15,313,239,74,3,7,48,-57,105,-2,W
A,17,283,146,137,1,10,154,50,104,1,7,129,96,33,0,W
A,20,362,114,248,0,22,278,213,65,2,-2,84,-99,183,-2,W
H,18,269,192,77,2,22,277,139,138,3,-4,-8,53,-61,-1,L
A,27,549,417,132,0,13,198,124,74,1,14,351,293,58,-1,W
H,25,356,287,69,5,21,298,208,90,1,4,58,79,-21,4,L
H,21,343,216,127,3,22,349,183,166,1,-1,-6,33,-39,2,L
H,21,337,249,88,1,21,374,256,118,0,0,-37,-7,-30,1,L
A,25,366,258,108,2,16,336,174,162,1,9,30,84,-54,1,L
H,20,271,171,100,3,24,429,257,172,2,-4,-158,-86,-72,1,L
H,21,263,156,107,3,18,245,89,156,0,3,18,67,-49,3,L
A,23,374,234,140,2,24,432,269,163,1,-1,-58,-35,-23,1,W
H,10,154,50,104,1,17,283,146,137,1,-7,-129,-96,-33,0,L
H,19,470,372,98,0,24,401,297,104,0,-5,69,75,-6,0,W
A,19,315,241,74,1,14,242,193,49,4,5,73,48,25,-3,W
H,19,357,259,98,0,18,344,249,95,0,1,13,10,3,0,W
H,19,357,204,153,0,21,411,310,101,0,-2,-54,-106,52,0,L
A,16,287,201,86,0,22,373,246,127,2,-6,-86,-45,-41,-2,W
A,27,345,272,73,3,18,269,97,172,0,9,76,175,-99,3,L
H,25,457,345,112,1,19,252,158,94,0,6,205,187,18,1,W
A,19,198,81,117,1,16,339,227,112,0,3,-141,-146,5,1,L
A,22,328,189,139,3,17,273,183,90,2,5,55,6,49,1,L
H,11,244,158,86,2,16,338,179,159,1,-5,-94,-21,-73,1,L
A,19,336,189,147,4,21,302,215,87,3,-2,34,-26,60,1,W
A,26,509,434,75,1,19,312,191,121,0,7,197,243,-46,1,W
A,21,374,256,118,0,21,337,249,88,1,0,37,7,30,-1,W
H,27,427,313,114,2,10,213,161,52,4,17,214,152,62,-2,W
H,23,353,286,67,1,17,275,143,132,2,6,78,143,-65,-1,W
H,22,481,421,60,0,21,484,329,155,2,1,-3,92,-95,-2,W
A,23,442,348,94,1,29,434,316,118,1,-6,8,32,-24,0,L
A,18,262,141,121,1,18,341,167,174,1,0,-79,-26,-53,0,L
A,17,321,238,83,1,22,316,266,50,0,-5,5,-28,33,1,L
A,26,401,281,120,2,23,388,225,163,0,3,13,56,-43,2,L
