Random_ID,STU.MISC3
11,FYFA19
31,FYFA19
41,FYFA19
43,FYFA19
57,FYFA19
61,FYFA19
99,FYFA19
134,FYFA19
136,FYFA19
163,FYFA19
186,FYFA19
189,FYFA19
212,FYFA19
228,FYFA19
241,FYFA19
276,FYFA19
300,FYFA19
328,FYFA19
340,FYFA19
354,FYFA19
391,FYFA19
400,FYFA19
431,FYFA19
443,FYFA19
446,FYFA19
461,FYFA19
495,FYFA19
519,FYFA19
560,FYFA19
566,FYFA19
608,FYFA19
631,FYFA19
636,FYFA19
701,FYFA19
766,FYFA19
813,FYFA19
866,FYFA19
881,FYFA19
905,FYFA19
906,FYFA19
920,FYFA19
972,FYFA19
991,FYFA19
1094,FYFA19
1101,FYFA19
1117,FYFA19
1150,FYFA19
1200,FYFA19
1240,FYFA19
1249,FYFA19
1270,FYFA19
1296,FYFA19
1325,FYFA19
1368,FYFA19
1373,FYFA19
1444,FYFA19
1460,FYFA19
1486,FYFA19
1514,FYFA19
1580,FYFA19
1635,FYFA19
1645,FYFA19
1674,FYFA19
1680,FYFA19
1687,FYFA19
1698,FYFA19
1700,FYFA19
1762,FYFA19
1764,FYFA19
1768,FYFA19
1832,FYFA19
1846,FYFA19
1858,FYFA19
1886,FYFA19
1889,FYFA19
1904,FYFA19
1942,FYFA19
1959,FYFA19
1999,FYFA19
2020,FYFA19
2024,FYFA19
2078,FYFA19
2095,FYFA19
2119,FYFA19
2123,FYFA19
2124,FYFA19
2131,FYFA19
2144,FYFA19
2146,FYFA19
2163,FYFA19
2174,FYFA19
2220,FYFA19
2221,FYFA19
2238,FYFA19
2321,FYFA19
2373,FYFA19
2376,FYFA19
2380,FYFA19
2395,FYFA19
2399,FYFA19
2417,FYFA19
2428,FYFA19
2435,FYFA19
2480,FYFA19
2511,FYFA19
2565,FYFA19
2570,FYFA19
2593,FYFA19
2626,FYFA19
2627,FYFA19
2637,FYFA19
2650,FYFA19
2661,FYFA19
2689,FYFA19
2698,FYFA19
2712,FYFA19
2728,FYFA19
2729,FYFA19
2741,FYFA19
2768,FYFA19
2775,FYFA19
2781,FYFA19
2823,FYFA19
2854,FYFA19
2889,FYFA19
2892,FYFA19
2910,FYFA19
2911,FYFA19
2923,FYFA19
2934,FYFA19
2939,FYFA19
2992,FYFA19
3075,FYFA19
3113,FYFA19
3148,FYFA19
3182,FYFA19
3185,FYFA19
3200,FYFA19
3234,FYFA19
3235,FYFA19
3236,FYFA19
3253,FYFA19
3283,FYFA19
3315,FYFA19
3359,FYFA19
3379,FYFA19
3385,FYFA19
3397,FYFA19
3406,FYFA19
3418,FYFA19
3433,FYFA19
3446,FYFA19
3452,FYFA19
3482,FYFA19
3494,FYFA19
3499,FYFA19
3544,FYFA19
3567,FYFA19
3578,FYFA19
3631,FYFA19
3648,FYFA19
3664,FYFA19
3671,FYFA19
3677,FYFA19
3678,FYFA19
3728,FYFA19
3761,FYFA19
3795,FYFA19
3861,FYFA19
3929,FYFA19
3948,FYFA19
3957,FYFA19
3970,FYFA19
3984,FYFA19
4008,FYFA19
4032,FYFA19
4037,FYFA19
4062,FYFA19
4075,FYFA19
4082,FYFA19
4099,FYFA19
4109,FYFA19
4112,FYFA19
4134,FYFA19
4146,FYFA19
4149,FYFA19
4172,FYFA19
4229,FYFA19
4244,FYFA19
4273,FYFA19
4303,FYFA19
4308,FYFA19
4338,FYFA19
4339,FYFA19
4352,FYFA19
4402,FYFA19
4457,FYFA19
4469,FYFA19
4472,FYFA19
4474,FYFA19
4483,FYFA19
4515,FYFA19
4520,FYFA19
4523,FYFA19
4525,FYFA19
4547,FYFA19
4559,FYFA19
4584,FYFA19
4588,FYFA19
4593,FYFA19
4599,FYFA19
4609,FYFA19
4643,FYFA19
4679,FYFA19
4704,FYFA19
4763,FYFA19
4792,FYFA19
4803,FYFA19
4805,FYFA19
4807,FYFA19
4827,FYFA19
4844,FYFA19
4857,FYFA19
