DateTimeStamp,Random_ID,AcadTerm,flg_NetDep,City,State,Gender,ACTcomp,SATcomp,Best_Test_ACT_Equivalent,HSGPA,Ath1,Ath2,Ath3,Religion
8/9/2019,3,19/FA,0,Muscatine,IA,M,,,,,BASEBALL,,,
8/9/2019,11,19/FA,1,Geneva,IL,F,25,,25,3.83,SOCCER,,,Roman Catholic
8/9/2019,14,19/FA,0,Bensenville,IL,F,,940,18,3.03,SOCCER,,,Christian
8/9/2019,17,19/FA,0,Wautoma,WI,M,14,,14,2.72,TRACK,CROSS COUNTRY,,Other
8/9/2019,18,19/FA,0,Evergreen Park,IL,M,,,,,,,,
8/9/2019,28,19/FA,0,Mason City,IA,M,23,,23,3.66,WRESTLING,,,Roman Catholic
8/9/2019,31,19/FA,1,Cascade,IA,M,22,,22,3.932,FOOTBALL,,,Methodist
8/9/2019,40,19/FA,0,Elburn,IL,M,,1210,25,2.93,FOOTBALL,SWIMMING,,Roman Catholic
8/9/2019,41,19/FA,1,Janesville,IA,M,21,,21,3.56,BASKETBALL,FOOTBALL,BASEBALL,Methodist
8/9/2019,42,19/FA,0,Dubuque,IA,F,28,,28,4,VOLLEYBALL,SOCCER,,Roman Catholic
8/9/2019,43,19/FA,1,Itasca,IL,F,,,,4,TRACK,SWIMMING,,Roman Catholic
8/9/2019,44,19/FA,0,Glenview,IL,M,24,,24,3.43,FOOTBALL,,,Roman Catholic
8/9/2019,50,19/FA,0,Channahon,IL,M,21,1140,23,2.543,SWIMMING,,,Other
8/9/2019,57,19/FA,1,Minnetonka,MN,F,23,,23,3.543,SWIMMING,,,Roman Catholic
8/9/2019,59,19/FA,0,Cedar Rapids,IA,M,,,,,,,,Roman Catholic
8/9/2019,61,19/FA,1,Poplar Grove,IL,F,,1020,20,3.974,SOCCER,,,
8/9/2019,63,19/FA,0,Glendale,AZ,M,25,,25,4,TENNIS,FOOTBALL,,
8/9/2019,69,19/FA,0,Cape Coral,FL,M,18,,18,3.65,FOOTBALL,,,Christian
8/9/2019,73,19/FA,0,Muscatine,IA,F,18,,18,,SOCCER,BASKETBALL,,Other
8/9/2019,75,19/FA,0,Mount Prospect,IL,F,29,,29,2.9,CROSS COUNTRY,TRACK,,Roman Catholic
8/9/2019,76,19/FA,0,Cascade,IA,F,,,,,,,,Roman Catholic
8/9/2019,77,19/FA,0,Henderson,NV,M,20,,20,3.16,,,,Christian
8/9/2019,78,19/FA,0,Plainfield,IL,M,27,,27,3.07,BASEBALL,BASKETBALL,,Roman Catholic
8/9/2019,79,19/FA,0,Geneva,IL,M,,,,,BASKETBALL,,,
8/9/2019,80,19/FA,0,Morris,IL,F,,1260,26,3.96,CROSS COUNTRY,SOFTBALL,,Presbyterian
8/9/2019,88,19/FA,0,Moravia,IA,M,22,,22,3.19,BASKETBALL,TRACK,,Christian
8/9/2019,96,19/FA,0,Batavia,IL,M,,1260,26,3.78,TENNIS,BASKETBALL,,Roman Catholic
8/9/2019,98,19/FA,0,Calmar,IA,M,28,,28,3.74,BASEBALL,BASKETBALL,,Roman Catholic
8/9/2019,99,19/FA,1,Peosta,IA,F,22,,22,3.72,,,,Roman Catholic
8/9/2019,103,19/FA,0,Bolingbrook,IL,M,,1320,28,3.95,VOLLEYBALL,,,Christian
8/9/2019,110,19/FA,0,North Bend,NE,F,,,,,TRACK,CROSS COUNTRY,,Christian
8/9/2019,113,19/FA,0,Franklin Park,IL,M,,1110,22,4,CROSS COUNTRY,BASKETBALL,TRACK,
8/9/2019,123,19/FA,0,Fort Madison,IA,M,21,,21,3.91,BASKETBALL,,,Roman Catholic
8/9/2019,124,19/FA,0,Trinity,FL,M,,,,,FOOTBALL,,,Christian
8/9/2019,134,19/FA,1,Dubuque,IA,F,17,,17,3.088,,,,Christian
