Where,1stD Diff,TotYd Diff,PassY Diff,RushY Diff,TO Diff,Outcome,,,,,,,,
H,High,High,High,High,MediumLow,W,,,,,,,,
A,Medium,MediumLow,MediumLow,MediumHigh,High,L,,,,,,,,
H,High,High,High,MediumHigh,High,W,,,,,,,,
A,Medium,Medium,Medium,Medium,MediumHigh,L,,,,,,,,
A,High,High,High,MediumHigh,MediumLow,W,,,,,,,,
H,High,High,MediumHigh,High,MediumHigh,W,,,,,,,,
A,MediumLow,MediumLow,Medium,MediumLow,MediumHigh,L,,,,,,,,
H,MediumHigh,High,High,Medium,MediumHigh,W,,,,,,,,
A,High,MediumHigh,MediumHigh,MediumHigh,MediumHigh,L,,,,,,,,
H,MediumHigh,MediumHigh,MediumHigh,Medium,MediumHigh,W,,,,,,,,
A,MediumLow,Medium,MediumHigh,Medium,MediumHigh,L,,,,,,,,
H,MediumLow,MediumLow,MediumLow,MediumHigh,MediumLow,W,,,,,,,,
A,MediumHigh,High,MediumHigh,High,Medium,W,,,,,,,,
A,Medium,Medium,Medium,Medium,High,L,,,,,,,,
H,MediumHigh,MediumHigh,Medium,MediumHigh,MediumLow,W,,,,,,,,
H,Medium,MediumLow,Medium,Medium,MediumHigh,W,,,,,,,,
H,MediumHigh,MediumHigh,Medium,MediumHigh,MediumLow,W,,,,,,,,
H,High,MediumHigh,High,Medium,High,L,,,,,,,,
H,Medium,MediumLow,MediumHigh,MediumLow,High,L,,,,,,,,
H,MediumLow,MediumLow,MediumLow,Medium,High,L,,,,,,,,
A,MediumHigh,MediumHigh,High,MediumLow,High,L,,,,,,,,
H,Medium,Medium,Medium,Medium,MediumHigh,L,,,,,,,,
H,High,High,MediumHigh,High,MediumLow,W,,,,,,,,
H,MediumHigh,MediumHigh,High,MediumLow,High,L,,,,,,,,
A,High,MediumHigh,Medium,High,MediumLow,W,,,,,,,,
H,Medium,MediumHigh,High,MediumLow,High,L,,,,,,,,
H,MediumLow,MediumLow,Medium,MediumLow,MediumHigh,L,,,,,,,,
A,High,High,MediumHigh,High,MediumHigh,W,,,,,,,,
