fixed acidity,residual sugar,free sulfur dioxide,total sulfur dioxide,pH,sulphates,alcohol,type
MediumHigh,Medium,MediumLow,MediumLow,High,MediumHigh,Medium,Red
MediumLow,MediumHigh,Medium,Medium,MediumLow,High,High,White
Medium,High,High,High,MediumLow,MediumHigh,MediumLow,White
MediumHigh,High,High,High,MediumHigh,MediumLow,MediumLow,White
MediumHigh,High,Medium,MediumHigh,MediumLow,Medium,MediumLow,White
High,MediumHigh,MediumLow,MediumLow,MediumLow,MediumHigh,High,Red
MediumHigh,MediumLow,High,Medium,MediumLow,High,MediumHigh,White
High,Medium,MediumLow,MediumLow,High,High,High,Red
MediumHigh,Medium,MediumHigh,MediumLow,High,MediumHigh,MediumHigh,Red
MediumHigh,High,High,MediumHigh,MediumLow,Medium,MediumLow,White
Medium,High,High,MediumHigh,Medium,MediumLow,MediumHigh,White
MediumHigh,MediumHigh,Medium,MediumHigh,Medium,MediumHigh,High,White
MediumHigh,MediumHigh,High,High,MediumHigh,MediumLow,High,White
Medium,High,Medium,High,MediumLow,MediumLow,MediumLow,White
High,High,MediumHigh,MediumHigh,MediumHigh,Medium,Medium,White
MediumLow,Medium,MediumHigh,MediumHigh,High,MediumHigh,MediumHigh,White
MediumHigh,MediumHigh,MediumHigh,MediumHigh,Medium,MediumLow,MediumLow,White
Medium,MediumLow,MediumHigh,Medium,MediumLow,MediumLow,MediumHigh,White
MediumLow,Medium,MediumLow,MediumLow,High,High,MediumHigh,Red
MediumHigh,MediumHigh,Medium,Medium,High,MediumLow,High,White
MediumLow,MediumLow,Medium,Medium,MediumHigh,Medium,Medium,White
High,Medium,MediumLow,MediumLow,High,High,MediumLow,Red
MediumHigh,MediumLow,Medium,MediumLow,MediumHigh,Medium,MediumHigh,White
MediumLow,High,High,MediumHigh,MediumLow,MediumHigh,MediumHigh,White
High,MediumLow,MediumLow,Medium,MediumHigh,Medium,MediumHigh,White
Medium,MediumHigh,MediumHigh,Medium,MediumLow,MediumLow,High,White
Medium,Medium,MediumLow,MediumLow,High,High,MediumHigh,Red
High,MediumHigh,Medium,High,High,MediumHigh,MediumHigh,White
Medium,MediumHigh,MediumHigh,Medium,MediumLow,MediumHigh,High,White
Medium,Medium,Medium,MediumLow,High,Medium,High,Red
MediumLow,MediumHigh,High,High,High,Medium,MediumLow,White
Medium,High,Medium,MediumHigh,High,MediumHigh,MediumHigh,White
MediumHigh,MediumLow,Medium,Medium,Medium,High,Medium,White
High,Medium,MediumLow,MediumLow,Medium,High,MediumHigh,Red
High,Medium,Medium,MediumLow,MediumHigh,MediumHigh,MediumLow,Red
Medium,Medium,MediumLow,Medium,MediumLow,MediumLow,High,White
Medium,MediumLow,MediumLow,MediumLow,High,MediumHigh,MediumLow,Red
MediumHigh,MediumHigh,MediumHigh,High,Medium,Medium,High,White
High,MediumHigh,MediumHigh,Medium,MediumLow,MediumLow,High,White
MediumHigh,High,High,MediumHigh,Medium,High,MediumHigh,White
Medium,MediumHigh,Medium,Medium,Medium,High,MediumHigh,White
MediumLow,MediumHigh,Medium,Medium,MediumHigh,Medium,High,White
MediumHigh,MediumHigh,Medium,Medium,Medium,High,High,White
MediumLow,MediumHigh,MediumLow,Medium,Medium,Medium,MediumLow,White
MediumLow,Medium,High,High,MediumHigh,MediumHigh,MediumHigh,White
Medium,MediumHigh,MediumLow,Medium,High,MediumHigh,High,White
MediumHigh,Medium,MediumLow,Medium,Medium,MediumLow,MediumLow,White
MediumHigh,Medium,MediumLow,MediumLow,High,MediumHigh,MediumLow,Red
MediumHigh,MediumLow,MediumLow,High,MediumHigh,MediumLow,MediumHigh,White
MediumHigh,High,High,High,Medium,MediumHigh,MediumLow,White
High,Medium,MediumLow,MediumLow,High,High,High,Red
MediumLow,High,High,Medium,MediumLow,Medium,MediumLow,White
High,MediumHigh,MediumLow,MediumLow,MediumHigh,High,Medium,Red
Medium,High,Medium,MediumHigh,High,MediumHigh,Medium,White
MediumHigh,MediumHigh,MediumHigh,High,MediumHigh,MediumHigh,Medium,White
Medium,Medium,Medium,Medium,Medium,MediumLow,MediumLow,White
MediumHigh,Medium,Medium,MediumHigh,MediumHigh,MediumHigh,MediumHigh,White
High,Medium,Medium,MediumLow,Medium,High,MediumLow,Red
Medium,High,High,High,Medium,Medium,MediumLow,White
Medium,MediumHigh,Medium,Medium,MediumLow,Medium,High,White
MediumHigh,MediumLow,High,MediumHigh,MediumHigh,High,Medium,White
High,MediumLow,High,Medium,MediumLow,Medium,High,White
High,Medium,MediumLow,Medium,Medium,Medium,Medium,White
MediumHigh,MediumLow,High,High,Medium,Medium,Medium,White
High,MediumLow,MediumLow,High,Medium,Medium,Medium,White
Medium,MediumLow,MediumHigh,High,MediumLow,Medium,Medium,White
MediumHigh,Medium,MediumHigh,Medium,MediumHigh,High,MediumHigh,White
MediumLow,MediumHigh,MediumLow,Medium,MediumHigh,MediumLow,MediumHigh,White
High,High,MediumHigh,High,MediumLow,High,MediumHigh,White
Medium,Medium,MediumHigh,Medium,MediumLow,MediumLow,High,White
High,Medium,MediumLow,MediumLow,MediumHigh,High,MediumHigh,Red
High,Medium,Medium,Medium,Medium,High,MediumLow,Red
MediumHigh,High,High,High,Medium,MediumLow,MediumLow,White
MediumHigh,MediumHigh,High,High,MediumLow,Medium,High,White
MediumLow,High,MediumHigh,High,Medium,Medium,MediumLow,White
Medium,High,High,MediumHigh,MediumHigh,Medium,MediumLow,White
High,Medium,MediumHigh,High,MediumHigh,MediumHigh,High,White
High,Medium,Medium,MediumLow,High,MediumHigh,Medium,Red
MediumLow,High,MediumHigh,High,Medium,MediumHigh,MediumLow,White
MediumLow,MediumLow,High,MediumHigh,Medium,High,MediumHigh,White
MediumHigh,MediumHigh,MediumLow,Medium,MediumLow,MediumLow,High,White
Medium,High,High,High,High,MediumHigh,MediumHigh,White
MediumLow,MediumHigh,High,High,High,High,High,White
Medium,Medium,Medium,Medium,High,MediumHigh,Medium,Red
MediumHigh,High,High,High,MediumLow,MediumHigh,MediumLow,White
Medium,High,High,High,Medium,MediumHigh,Medium,White
MediumHigh,Medium,Medium,Medium,MediumHigh,MediumLow,MediumHigh,White
High,Medium,MediumLow,MediumLow,Medium,High,Medium,Red
Medium,MediumHigh,Medium,Medium,MediumHigh,MediumHigh,MediumHigh,White
MediumHigh,High,High,High,High,MediumLow,Medium,White
MediumLow,MediumHigh,High,High,MediumHigh,High,MediumHigh,White
Medium,Medium,Medium,MediumLow,High,MediumHigh,Medium,Red
MediumHigh,High,MediumLow,Medium,MediumLow,Medium,High,White
Medium,MediumHigh,High,MediumHigh,MediumLow,Medium,MediumLow,White
MediumLow,Medium,MediumLow,MediumLow,Medium,Medium,High,White
MediumHigh,High,High,High,MediumLow,MediumLow,MediumLow,White
Medium,Medium,MediumHigh,MediumLow,High,High,Medium,Red
MediumHigh,High,Medium,MediumHigh,MediumLow,MediumLow,MediumHigh,White
MediumLow,High,MediumLow,Medium,High,Medium,High,White
High,Medium,MediumLow,MediumLow,High,High,MediumHigh,Red
MediumHigh,MediumLow,MediumLow,Medium,MediumLow,MediumLow,High,White
MediumHigh,High,High,High,MediumHigh,MediumHigh,MediumLow,White
MediumHigh,MediumHigh,MediumHigh,Medium,High,MediumHigh,High,White
Medium,MediumHigh,High,MediumHigh,MediumLow,Medium,MediumHigh,White
High,MediumLow,MediumLow,MediumLow,Medium,MediumHigh,Medium,Red
Medium,MediumLow,MediumHigh,Medium,MediumLow,Medium,MediumLow,White
High,High,High,Medium,Medium,High,MediumLow,Red
High,Medium,MediumHigh,MediumHigh,MediumHigh,Medium,MediumLow,Red
High,MediumLow,High,MediumHigh,MediumLow,MediumLow,High,White
High,MediumLow,MediumLow,MediumHigh,MediumLow,Medium,MediumHigh,White
MediumLow,High,High,High,MediumHigh,MediumHigh,MediumLow,White
High,Medium,Medium,Medium,High,Medium,Medium,Red
Medium,Medium,Medium,Medium,MediumHigh,Medium,MediumHigh,White
Medium,MediumHigh,MediumHigh,High,High,MediumHigh,Medium,White
High,High,Medium,MediumHigh,MediumHigh,MediumLow,High,White
MediumLow,MediumHigh,MediumHigh,MediumHigh,High,MediumHigh,MediumLow,White
Medium,High,High,High,MediumLow,MediumHigh,Medium,White
High,MediumLow,Medium,Medium,MediumLow,Medium,High,White
High,Medium,Medium,MediumLow,Medium,MediumHigh,Medium,Red
MediumHigh,MediumHigh,High,High,Medium,MediumLow,Medium,White
High,Medium,Medium,MediumLow,MediumLow,High,MediumHigh,Red
High,Medium,Medium,MediumLow,Medium,High,MediumHigh,Red
MediumLow,MediumHigh,Medium,Medium,High,Medium,High,White
MediumHigh,Medium,Medium,MediumLow,High,High,MediumHigh,Red
High,High,MediumHigh,High,MediumLow,High,MediumLow,White
Medium,MediumLow,MediumLow,Medium,MediumHigh,MediumLow,Medium,White
Medium,High,MediumHigh,MediumHigh,MediumHigh,MediumLow,MediumLow,White
High,MediumLow,Medium,MediumLow,MediumHigh,High,MediumHigh,Red
High,MediumHigh,MediumLow,MediumLow,High,High,MediumHigh,Red
MediumLow,MediumHigh,Medium,Medium,High,Medium,MediumHigh,White
Medium,MediumHigh,High,Medium,MediumHigh,MediumHigh,Medium,Red
High,Medium,MediumLow,MediumLow,MediumHigh,MediumHigh,Medium,Red
MediumLow,MediumHigh,MediumHigh,MediumHigh,High,MediumLow,Medium,White
Medium,High,High,High,MediumLow,Medium,MediumLow,White
High,High,Medium,MediumLow,MediumHigh,High,MediumHigh,Red
MediumHigh,High,High,High,MediumLow,Medium,Medium,White
High,MediumHigh,Medium,MediumLow,MediumHigh,High,Medium,Red
MediumHigh,MediumHigh,High,High,Medium,Medium,MediumHigh,White
MediumLow,Medium,Medium,MediumHigh,Medium,Medium,MediumHigh,White
High,Medium,MediumLow,MediumLow,MediumHigh,High,MediumLow,Red
High,MediumLow,MediumLow,MediumLow,MediumLow,High,MediumHigh,White
Medium,Medium,MediumHigh,Medium,Medium,MediumLow,High,White
Medium,High,MediumHigh,High,High,Medium,Medium,White
Medium,High,MediumHigh,MediumHigh,High,MediumLow,Medium,White
MediumHigh,MediumLow,High,MediumHigh,MediumLow,High,MediumHigh,White
High,MediumLow,Medium,High,MediumHigh,MediumLow,MediumHigh,White
MediumHigh,Medium,MediumHigh,Medium,MediumHigh,High,High,Red
MediumHigh,High,High,High,MediumLow,Medium,MediumLow,White
MediumLow,High,MediumHigh,MediumHigh,MediumHigh,Medium,Medium,White
MediumHigh,Medium,High,High,MediumLow,MediumHigh,MediumHigh,White
High,Medium,MediumLow,MediumLow,MediumHigh,High,Medium,Red
MediumLow,MediumHigh,MediumHigh,High,High,High,Medium,White
MediumHigh,High,MediumLow,Medium,MediumLow,MediumLow,MediumLow,White
MediumHigh,Medium,High,High,MediumHigh,MediumLow,High,White
MediumLow,MediumHigh,Medium,Medium,MediumHigh,Medium,MediumHigh,White
MediumLow,MediumHigh,MediumLow,MediumLow,High,MediumHigh,High,Red
MediumHigh,MediumHigh,MediumLow,MediumLow,MediumLow,MediumHigh,High,White
High,MediumLow,Medium,Medium,MediumLow,MediumHigh,MediumHigh,White
MediumLow,High,High,High,MediumLow,MediumHigh,MediumLow,White
High,Medium,Medium,Medium,MediumHigh,MediumHigh,High,White
